human_symbol	human_ensembl_gene	human_symbol_biomart	mouse_ensembl_gene	mouse_symbol	orthology_type	mouse_perc_id
FAT1	ENSG00000083857	FAT1	ENSMUSG00000070047	Fat1	ortholog_one2one	88.1648
TERT	ENSG00000164362	TERT	ENSMUSG00000021611	Tert	ortholog_one2one	61.2191
PAPD7	ENSG00000112941	TENT4A	ENSMUSG00000034575	Tent4a	ortholog_one2one	90.404
MYO10	ENSG00000145555	MYO10	ENSMUSG00000022272	Myo10	ortholog_one2one	94.6064
RAI14	ENSG00000039560	RAI14	ENSMUSG00000022246	Rai14	ortholog_one2one	85.2041
OXCT1	ENSG00000083720	OXCT1	ENSMUSG00000022186	Oxct1	ortholog_one2one	92.1154
GHR	ENSG00000112964	GHR	ENSMUSG00000055737	Ghr	ortholog_one2one	69.5925
ZNF131	ENSG00000172262	ZNF131	ENSMUSG00000094870	Zfp131	ortholog_one2one	93.5795
HMGCS1	ENSG00000112972	HMGCS1	ENSMUSG00000093930	Hmgcs1	ortholog_one2one	94.6154
NNT	ENSG00000112992	NNT	ENSMUSG00000025453	Nnt	ortholog_one2one	72.3757
DHX29	ENSG00000067248	DHX29	ENSMUSG00000042426	Dhx29	ortholog_one2one	90.8692
CCNB1	ENSG00000134057	CCNB1	ENSMUSG00000041431	Ccnb1	ortholog_one2one	85.9122
CDK7	ENSG00000134058	CDK7	ENSMUSG00000069089	Cdk7	ortholog_one2one	94.5087
HMGCR	ENSG00000113161	HMGCR	ENSMUSG00000021670	Hmgcr	ortholog_one2one	93.4685
SSBP2	ENSG00000145687	SSBP2	ENSMUSG00000003992	Ssbp2	ortholog_one2one	97.561
RASA1	ENSG00000145715	RASA1	ENSMUSG00000021549	Rasa1	ortholog_one2one	95.1289
CCNH	ENSG00000134480	CCNH	ENSMUSG00000021548	Ccnh	ortholog_one2one	94.4272
MEF2C	ENSG00000081189	MEF2C	ENSMUSG00000005583	Mef2c	ortholog_one2one	97.2516
CETN3	ENSG00000153140	CETN3	ENSMUSG00000021537	Cetn3	ortholog_one2one	98.8024
GLRX	ENSG00000173221	GLRX	ENSMUSG00000021591	Glrx	ortholog_one2one	88.6792
SLC25A46	ENSG00000164209	SLC25A46	ENSMUSG00000024259	Slc25a46	ortholog_one2one	88.9952
REEP5	ENSG00000129625	REEP5	ENSMUSG00000005873	Reep5	ortholog_one2one	93.6508
PPIC	ENSG00000168938	PPIC	ENSMUSG00000024538	Ppic	ortholog_one2one	90.566
ALDH7A1	ENSG00000164904	ALDH7A1	ENSMUSG00000053644	Aldh7a1	ortholog_one2one	88.1262
ISOC1	ENSG00000066583	ISOC1	ENSMUSG00000024601	Isoc1	ortholog_one2one	94.6309
P4HA2	ENSG00000072682	P4HA2	ENSMUSG00000018906	P4ha2	ortholog_one2one	91.3696
HSPA4	ENSG00000170606	HSPA4	ENSMUSG00000020361	Hspa4	ortholog_one2one	96.0714
VDAC1	ENSG00000213585	VDAC1	ENSMUSG00000020402	Vdac1	ortholog_one2one	98.5866
SKP1	ENSG00000113558	SKP1	ENSMUSG00000036309	Skp1	ortholog_one2one	99.3865
JADE2	ENSG00000043143	JADE2	ENSMUSG00000020387	Jade2	ortholog_one2one	90.7674
KIF20A	ENSG00000112984	KIF20A	ENSMUSG00000003779	Kif20a	ortholog_one2one	86.8539
EGR1	ENSG00000120738	EGR1	ENSMUSG00000038418	Egr1	ortholog_one2one	91.5285
GNPDA1	ENSG00000113552	GNPDA1	ENSMUSG00000052102	Gnpda1	ortholog_one2one	96.1938
NR3C1	ENSG00000113580	NR3C1	ENSMUSG00000024431	Nr3c1	ortholog_one2one	90.2188
TCERG1	ENSG00000113649	TCERG1	ENSMUSG00000024498	Tcerg1	ortholog_one2one	94.4395
ADRB2	ENSG00000169252	ADRB2	ENSMUSG00000045730	Adrb2	ortholog_one2one	88.1356
CSNK1A1	ENSG00000113712	CSNK1A1	ENSMUSG00000024576	Csnk1a1	ortholog_one2one	99.7033
TNIP1	ENSG00000145901	TNIP1	ENSMUSG00000020400	Tnip1	ortholog_one2one	83.3333
G3BP1	ENSG00000145907	G3BP1	ENSMUSG00000018583	G3bp1	ortholog_one2one	93.5622
STK10	ENSG00000072786	STK10	ENSMUSG00000020272	Stk10	ortholog_one2one	87.7066
CLTB	ENSG00000175416	CLTB	ENSMUSG00000047547	Cltb	ortholog_one2one	87.7729
FGFR4	ENSG00000160867	FGFR4	ENSMUSG00000005320	Fgfr4	ortholog_one2one	90.1496
PRR7	ENSG00000131188	PRR7	ENSMUSG00000034686	Prr7	ortholog_one2one	94.5256
SQSTM1	ENSG00000161011	SQSTM1	ENSMUSG00000015837	Sqstm1	ortholog_one2one	91.1364
TBC1D9B	ENSG00000197226	TBC1D9B	ENSMUSG00000036644	Tbc1d9b	ortholog_one2one	92.2952
MAPK9	ENSG00000050748	MAPK9	ENSMUSG00000020366	Mapk9	ortholog_one2one	98.8208
DUSP22	ENSG00000112679	DUSP22	ENSMUSG00000069255	Dusp22	ortholog_one2one	90.7317
BPHL	ENSG00000137274	BPHL	ENSMUSG00000038286	Bphl	ortholog_one2one	81.7869
TFAP2A	ENSG00000137203	TFAP2A	ENSMUSG00000021359	Tfap2a	ortholog_one2one	98.6333
EDN1	ENSG00000078401	EDN1	ENSMUSG00000021367	Edn1	ortholog_one2one	69.3396
GFOD1	ENSG00000145990	GFOD1	ENSMUSG00000051335	Gfod1	ortholog_one2one	98.2051
MCUR1	ENSG00000050393	MCUR1	ENSMUSG00000021371	Mcur1	ortholog_one2one	69.0808
SOX4	ENSG00000124766	SOX4	ENSMUSG00000076431	Sox4	ortholog_one2one	81.2236
GMNN	ENSG00000112312	GMNN	ENSMUSG00000006715	Gmnn	ortholog_one2one	77.512
CARMIL1	ENSG00000079691	CARMIL1	ENSMUSG00000021338	Carmil1	ortholog_one2one	89.4967
ABCF1	ENSG00000204574	ABCF1	ENSMUSG00000038762	Abcf1	ortholog_one2one	91.2426
IER3	ENSG00000137331	IER3	ENSMUSG00000003541	Ier3	ortholog_one2one	72.4359
DDR1	ENSG00000204580	DDR1	ENSMUSG00000003534	Ddr1	ortholog_one2one	93.5378
HSPA1A	ENSG00000204389	HSPA1A	ENSMUSG00000090877	Hspa1b	ortholog_many2many	95.3198
HSPA1A	ENSG00000204389	HSPA1A	ENSMUSG00000091971	Hspa1a	ortholog_many2many	95.3198
SKIV2L	ENSG00000204351	SKIC2	ENSMUSG00000040356	Skic2	ortholog_one2one	93.2584
HLA-DRA	ENSG00000204287	HLA-DRA	ENSMUSG00000036322	H2-Ea	ortholog_one2one	68.1102
PSMB8	ENSG00000204264	PSMB8	ENSMUSG00000024338	Psmb8	ortholog_one2one	88.4058
HLA-DMA	ENSG00000204257	HLA-DMA	ENSMUSG00000037649	H2-DMa	ortholog_one2one	75.8621
DAXX	ENSG00000204209	DAXX	ENSMUSG00000002307	Daxx	ortholog_one2one	71.8919
SPDEF	ENSG00000124664	SPDEF	ENSMUSG00000024215	Spdef	ortholog_one2one	85.0746
PPARD	ENSG00000112033	PPARD	ENSMUSG00000002250	Ppard	ortholog_one2one	92.2903
MAPK13	ENSG00000156711	MAPK13	ENSMUSG00000004864	Mapk13	ortholog_one2one	92.8767
CDKN1A	ENSG00000124762	CDKN1A	ENSMUSG00000023067	Cdkn1a	ortholog_one2one	76.8293
CCND3	ENSG00000112576	CCND3	ENSMUSG00000034165	Ccnd3	ortholog_one2one	94.5205
CNPY3	ENSG00000137161	CNPY3	ENSMUSG00000023973	Cnpy3	ortholog_one2one	87.7698
ZNF318	ENSG00000171467	ZNF318	ENSMUSG00000015597	Zfp318	ortholog_one2one	71.9175
POLR1C	ENSG00000171453	POLR1C	ENSMUSG00000067148	Polr1c	ortholog_one2one	93.9306
NFKBIE	ENSG00000146232	NFKBIE	ENSMUSG00000023947	Nfkbie	ortholog_one2one	82.2715
TNFRSF21	ENSG00000146072	TNFRSF21	ENSMUSG00000023915	Tnfrsf21	ortholog_one2one	89.0076
MCM3	ENSG00000112118	MCM3	ENSMUSG00000041859	Mcm3	ortholog_one2one	93.3168
TRAM2	ENSG00000065308	TRAM2	ENSMUSG00000041779	Tram2	ortholog_one2one	90.0
ZNF451	ENSG00000112200	ZNF451	ENSMUSG00000042197	Zfp451	ortholog_one2one	78.7936
SENP6	ENSG00000112701	SENP6	ENSMUSG00000034252	Senp6	ortholog_one2one	80.8453
SLC35A1	ENSG00000164414	SLC35A1	ENSMUSG00000028293	Slc35a1	ortholog_one2one	91.3947
UBE2J1	ENSG00000198833	UBE2J1	ENSMUSG00000028277	Ube2j1	ortholog_one2one	92.4528
ASCC3	ENSG00000112249	ASCC3	ENSMUSG00000038774	Ascc3	ortholog_one2one	92.0527
FOXO3	ENSG00000118689	FOXO3	ENSMUSG00000048756	Foxo3	ortholog_one2one	94.6508
SESN1	ENSG00000080546	SESN1	ENSMUSG00000038332	Sesn1	ortholog_one2one	82.2142
CDK19	ENSG00000155111	CDK19	ENSMUSG00000038481	Cdk19	ortholog_one2one	96.2151
FYN	ENSG00000010810	FYN	ENSMUSG00000019843	Fyn	ortholog_one2one	99.4413
HDAC2	ENSG00000196591	HDAC2	ENSMUSG00000019777	Hdac2	ortholog_one2one	99.3852
PTPRK	ENSG00000152894	PTPRK	ENSMUSG00000019889	Ptprk	ortholog_one2one	98.8194
EPB41L2	ENSG00000079819	EPB41L2	ENSMUSG00000019978	Epb41l2	ortholog_one2one	82.2886
TBPL1	ENSG00000028839	TBPL1	ENSMUSG00000071359	Tbpl1	ortholog_one2one	100.0
MAP7	ENSG00000135525	MAP7	ENSMUSG00000019996	Map7	ortholog_one2one	78.6382
PCMT1	ENSG00000120265	PCMT1	ENSMUSG00000019795	Pcmt1	ortholog_one2one	94.7137
ACAT2	ENSG00000120437	ACAT2	ENSMUSG00000062480	Acat3	ortholog_one2many	85.8942
ACAT2	ENSG00000120437	ACAT2	ENSMUSG00000023832	Acat2	ortholog_one2many	87.6574
IGF2R	ENSG00000197081	IGF2R	ENSMUSG00000023830	Igf2r	ortholog_one2one	81.2525
MAP3K4	ENSG00000085511	MAP3K4	ENSMUSG00000014426	Map3k4	ortholog_one2one	85.8209
TBP	ENSG00000112592	TBP	ENSMUSG00000014767	Tbp	ortholog_one2one	91.1504
PDGFA	ENSG00000197461	PDGFA	ENSMUSG00000025856	Pdgfa	ortholog_one2one	92.3469
GPER1	ENSG00000164850	GPER1	ENSMUSG00000053647	Gper1	ortholog_one2one	86.9333
KDELR2	ENSG00000136240	KDELR2	ENSMUSG00000079111	Kdelr2	ortholog_one2one	98.5849
RPA3	ENSG00000106399	RPA3	ENSMUSG00000012483	Rpa3	ortholog_one2one	76.8595
ETV1	ENSG00000006468	ETV1	ENSMUSG00000004151	Etv1	ortholog_one2one	97.9036
BZW2	ENSG00000136261	BZW2	ENSMUSG00000020547	Bzw2	ortholog_one2one	99.0453
SNX13	ENSG00000071189	SNX13	ENSMUSG00000020590	Snx13	ortholog_one2one	97.1787
CYCS	ENSG00000172115	CYCS	ENSMUSG00000058927	Gm10053	ortholog_one2many	91.4286
CYCS	ENSG00000172115	CYCS	ENSMUSG00000063694	Cycs	ortholog_one2many	91.4286
HOXA5	ENSG00000106004	HOXA5	ENSMUSG00000038253	Hoxa5	ortholog_one2one	97.7778
HOXA10	ENSG00000253293	HOXA10	ENSMUSG00000000938	Hoxa10	ortholog_one2one	91.2195
SCRN1	ENSG00000136193	SCRN1	ENSMUSG00000019124	Scrn1	ortholog_one2one	87.9227
FKBP14	ENSG00000106080	FKBP14	ENSMUSG00000038074	Fkbp14	ortholog_one2one	92.891
LSM5	ENSG00000106355	LSM5	ENSMUSG00000091625	Lsm5	ortholog_one2one	100.0
RALA	ENSG00000006451	RALA	ENSMUSG00000008859	Rala	ortholog_one2one	99.5146
BLVRA	ENSG00000106605	BLVRA	ENSMUSG00000001999	Blvra	ortholog_one2one	82.0946
YKT6	ENSG00000106636	YKT6	ENSMUSG00000002741	Ykt6	ortholog_one2one	90.9091
NUDCD3	ENSG00000015676	NUDCD3	ENSMUSG00000053838	Nudcd3	ortholog_one2one	87.8116
H2AFV	ENSG00000105968	H2AZ2	ENSMUSG00000041126	H2az2	ortholog_one2one	100.0
IGFBP3	ENSG00000146674	IGFBP3	ENSMUSG00000020427	Igfbp3	ortholog_one2one	81.7869
IKZF1	ENSG00000185811	IKZF1	ENSMUSG00000018654	Ikzf1	ortholog_one2one	92.6782
GRB10	ENSG00000106070	GRB10	ENSMUSG00000020176	Grb10	ortholog_one2one	78.1145
EGFR	ENSG00000146648	EGFR	ENSMUSG00000020122	Egfr	ortholog_one2one	90.4959
BCL7B	ENSG00000106635	BCL7B	ENSMUSG00000029681	Bcl7b	ortholog_one2one	96.0396
STX1A	ENSG00000106089	STX1A	ENSMUSG00000007207	Stx1a	ortholog_one2one	98.2639
RFC2	ENSG00000049541	RFC2	ENSMUSG00000023104	Rfc2	ortholog_one2one	91.8079
HSPB1	ENSG00000106211	HSPB1	ENSMUSG00000004951	Hspb1	ortholog_one2one	84.3902
PTPN12	ENSG00000127947	PTPN12	ENSMUSG00000028771	Ptpn12	ortholog_one2one	84.2308
GNAI1	ENSG00000127955	GNAI1	ENSMUSG00000057614	Gnai1	ortholog_one2one	100.0
DMTF1	ENSG00000135164	DMTF1	ENSMUSG00000042508	Dmtf1	ortholog_one2many	95.1316
DMTF1	ENSG00000135164	DMTF1	ENSMUSG00000058670	Dmtf1l	ortholog_one2many	38.5526
FZD1	ENSG00000157240	FZD1	ENSMUSG00000044674	Fzd1	ortholog_one2one	93.1994
CDK6	ENSG00000105810	CDK6	ENSMUSG00000040274	Cdk6	ortholog_one2one	96.319
SLC25A13	ENSG00000004864	SLC25A13	ENSMUSG00000015112	Slc25a13	ortholog_one2one	95.4074
CPSF4	ENSG00000160917	CPSF4	ENSMUSG00000029625	Cpsf4	ortholog_one2one	99.2565
SERPINE1	ENSG00000106366	SERPINE1	ENSMUSG00000037411	Serpine1	ortholog_one2one	78.8557
PLOD3	ENSG00000106397	PLOD3	ENSMUSG00000004846	Plod3	ortholog_one2one	91.4634
FIS1	ENSG00000214253	FIS1	ENSMUSG00000019054	Fis1	ortholog_one2one	96.0526
SYPL1	ENSG00000008282	SYPL1	ENSMUSG00000020570	Sypl1	ortholog_one2one	84.2324
DLD	ENSG00000091140	DLD	ENSMUSG00000020664	Dld	ortholog_one2one	94.6955
TES	ENSG00000135269	TES	ENSMUSG00000029552	Tes	ortholog_one2many	90.7363
TES	ENSG00000135269	TES	ENSMUSG00000068113	Tesl1	ortholog_one2many	77.1972
ST7	ENSG00000004866	ST7	ENSMUSG00000029534	St7	ortholog_one2one	95.3206
CALU	ENSG00000128595	CALU	ENSMUSG00000029767	Calu	ortholog_one2one	98.0952
MEST	ENSG00000106484	MEST	ENSMUSG00000051855	Mest	ortholog_one2one	81.194
CNOT4	ENSG00000080802	CNOT4	ENSMUSG00000038784	Cnot4	ortholog_one2one	97.756
CASP2	ENSG00000106144	CASP2	ENSMUSG00000029863	Casp2	ortholog_one2one	89.6018
EZH2	ENSG00000106462	EZH2	ENSMUSG00000029687	Ezh2	ortholog_one2one	97.6032
NOS3	ENSG00000164867	NOS3	ENSMUSG00000028978	Nos3	ortholog_one2one	94.1812
RHEB	ENSG00000106615	RHEB	ENSMUSG00000028945	Rheb	ortholog_one2one	98.913
PRKAG2	ENSG00000106617	PRKAG2	ENSMUSG00000028944	Prkag2	ortholog_one2one	87.1705
INSIG1	ENSG00000186480	INSIG1	ENSMUSG00000045294	Insig1	ortholog_one2one	76.5343
UBE3C	ENSG00000009335	UBE3C	ENSMUSG00000039000	Ube3c	ortholog_one2one	93.3518
DNAJB6	ENSG00000105993	DNAJB6	ENSMUSG00000029131	Dnajb6	ortholog_one2one	85.5828
MSRA	ENSG00000175806	MSRA	ENSMUSG00000054733	Msra	ortholog_one2one	73.617
FDFT1	ENSG00000079459	FDFT1	ENSMUSG00000021273	Fdft1	ortholog_one2one	87.53
PCM1	ENSG00000078674	PCM1	ENSMUSG00000031592	Pcm1	ortholog_one2one	88.7352
ASAH1	ENSG00000104763	ASAH1	ENSMUSG00000031591	Asah1	ortholog_one2one	79.2405
XPO7	ENSG00000130227	XPO7	ENSMUSG00000022100	Xpo7	ortholog_one2one	99.264
SORBS3	ENSG00000120896	SORBS3	ENSMUSG00000022091	Sorbs3	ortholog_one2one	78.9866
BNIP3L	ENSG00000104765	BNIP3L	ENSMUSG00000022051	Bnip3l	ortholog_one2one	96.8036
PTK2B	ENSG00000120899	PTK2B	ENSMUSG00000059456	Ptk2b	ortholog_one2one	95.441
ZNF395	ENSG00000186918	ZNF395	ENSMUSG00000034522	Zfp395	ortholog_one2one	82.0663
DUSP4	ENSG00000120875	DUSP4	ENSMUSG00000031530	Dusp4	ortholog_one2one	96.9543
GTF2E2	ENSG00000197265	GTF2E2	ENSMUSG00000031585	Gtf2e2	ortholog_one2one	94.1581
EIF4EBP1	ENSG00000187840	EIF4EBP1	ENSMUSG00000031490	Eif4ebp1	ortholog_one2one	90.678
KAT6A	ENSG00000083168	KAT6A	ENSMUSG00000031540	Kat6a	ortholog_one2one	88.3234
IKBKB	ENSG00000104365	IKBKB	ENSMUSG00000031537	Ikbkb	ortholog_one2one	92.5926
POLB	ENSG00000070501	POLB	ENSMUSG00000031536	Polb	ortholog_one2one	96.4179
CEBPD	ENSG00000221869	CEBPD	ENSMUSG00000071637	Cebpd	ortholog_one2one	84.7584
LYPLA1	ENSG00000120992	LYPLA1	ENSMUSG00000025903	Lypla1	ortholog_one2one	91.7391
LYN	ENSG00000254087	LYN	ENSMUSG00000042228	Lyn	ortholog_one2one	64.0625
MTFR1	ENSG00000066855	MTFR1	ENSMUSG00000027601	Mtfr1	ortholog_one2one	76.2763
RRS1	ENSG00000179041	RRS1	ENSMUSG00000061024	Rrs1	ortholog_one2one	90.6849
CPNE3	ENSG00000085719	CPNE3	ENSMUSG00000028228	Cpne3	ortholog_one2one	93.6685
DECR1	ENSG00000104325	DECR1	ENSMUSG00000028223	Decr1	ortholog_one2one	82.3881
CCNE2	ENSG00000175305	CCNE2	ENSMUSG00000028212	Ccne2	ortholog_one2one	92.3267
MTERF3	ENSG00000156469	MTERF3	ENSMUSG00000021519	Mterf3	ortholog_one2one	75.7794
EXT1	ENSG00000182197	EXT1	ENSMUSG00000061731	Ext1	ortholog_one2one	99.3298
TBC1D31	ENSG00000156787	TBC1D31	ENSMUSG00000022364	Tbc1d31	ortholog_one2one	78.7054
WASHC5	ENSG00000164961	WASHC5	ENSMUSG00000022350	Washc5	ortholog_one2one	95.7722
TRIB1	ENSG00000173334	TRIB1	ENSMUSG00000032501	Trib1	ortholog_one2one	93.8172
MYC	ENSG00000136997	MYC	ENSMUSG00000022346	Myc	ortholog_one2one	90.0881
PTK2	ENSG00000169398	PTK2	ENSMUSG00000022607	Ptk2	ortholog_one2one	96.8978
TSTA3	ENSG00000104522	GFUS	ENSMUSG00000022570	Gfus	ortholog_one2one	93.7695
PUF60	ENSG00000179950	PUF60	ENSMUSG00000002524	Puf60	ortholog_one2one	78.5331
EXOSC4	ENSG00000178896	EXOSC4	ENSMUSG00000034259	Exosc4	ortholog_one2one	95.9184
VPS28	ENSG00000160948	VPS28	ENSMUSG00000115987	Vps28	ortholog_one2one	98.6425
PSIP1	ENSG00000164985	PSIP1	ENSMUSG00000028484	Psip1	ortholog_one2one	92.2642
RRAGA	ENSG00000155876	RRAGA	ENSMUSG00000070934	Rraga	ortholog_one2one	100.0
KLHL9	ENSG00000198642	KLHL9	ENSMUSG00000070923	Klhl9	ortholog_one2one	98.7034
CDKN2A	ENSG00000147889	CDKN2A	ENSMUSG00000044303	Cdkn2a	ortholog_one2one	62.1795
TESK1	ENSG00000107140	TESK1	ENSMUSG00000028458	Tesk1	ortholog_one2one	92.9712
MELK	ENSG00000165304	MELK	ENSMUSG00000035683	Melk	ortholog_one2one	83.1029
SHB	ENSG00000107338	SHB	ENSMUSG00000044813	Shb	ortholog_one2one	92.7308
TMEM2	ENSG00000135048	CEMIP2	ENSMUSG00000024754	Cemip2	ortholog_one2one	86.7679
TLE1	ENSG00000196781	TLE1	ENSMUSG00000008305	Tle1	ortholog_one2one	97.6623
SYK	ENSG00000165025	SYK	ENSMUSG00000021457	Syk	ortholog_one2one	91.4961
NFIL3	ENSG00000165030	NFIL3	ENSMUSG00000056749	Nfil3	ortholog_one2one	84.4156
TEX10	ENSG00000136891	TEX10	ENSMUSG00000028345	Tex10	ortholog_one2one	88.8052
IKBKAP	ENSG00000070061	ELP1	ENSMUSG00000028431	Elp1	ortholog_one2one	81.0811
CTNNAL1	ENSG00000119326	CTNNAL1	ENSMUSG00000038816	Ctnnal1	ortholog_one2one	87.3297
PRPF4	ENSG00000136875	PRPF4	ENSMUSG00000066148	Prpf4	ortholog_one2one	99.0403
TLR4	ENSG00000136869	TLR4	ENSMUSG00000039005	Tlr4	ortholog_one2one	66.8653
C5	ENSG00000106804	C5	ENSMUSG00000026874	Hc	ortholog_one2one	77.7446
STXBP1	ENSG00000136854	STXBP1	ENSMUSG00000026797	Stxbp1	ortholog_one2one	97.8114
FPGS	ENSG00000136877	FPGS	ENSMUSG00000009566	Fpgs	ortholog_one2one	82.1124
DNM1	ENSG00000106976	DNM1	ENSMUSG00000026825	Dnm1	ortholog_one2one	96.7593
SPTAN1	ENSG00000197694	SPTAN1	ENSMUSG00000057738	Sptan1	ortholog_one2one	98.2237
TOR1A	ENSG00000136827	TOR1A	ENSMUSG00000026849	Tor1a	ortholog_one2one	90.9639
ABL1	ENSG00000097007	ABL1	ENSMUSG00000026842	Abl1	ortholog_one2one	86.4602
RALGDS	ENSG00000160271	RALGDS	ENSMUSG00000026821	Ralgds	ortholog_one2one	80.6346
SLC2A6	ENSG00000160326	SLC2A6	ENSMUSG00000036067	Slc2a6	ortholog_one2one	80.8679
MRPS2	ENSG00000122140	MRPS2	ENSMUSG00000035772	Mrps2	ortholog_one2one	69.5946
NOTCH1	ENSG00000148400	NOTCH1	ENSMUSG00000026923	Notch1	ortholog_one2one	90.6458
NPDC1	ENSG00000107281	NPDC1	ENSMUSG00000015094	Npdc1	ortholog_one2one	75.0769
NET1	ENSG00000173848	NET1	ENSMUSG00000021215	Net1	ortholog_one2one	76.3423
PRKCQ	ENSG00000065675	PRKCQ	ENSMUSG00000026778	Prkcq	ortholog_one2one	94.7592
GATA3	ENSG00000107485	GATA3	ENSMUSG00000015619	Gata3	ortholog_one2one	96.3964
USP6NL	ENSG00000148429	USP6NL	ENSMUSG00000039046	Usp6nl	ortholog_one2one	82.1256
RPP38	ENSG00000152464	RPP38	ENSMUSG00000049950	Rpp38	ortholog_one2one	75.9717
RSU1	ENSG00000148484	RSU1	ENSMUSG00000026727	Rsu1	ortholog_one2one	97.1119
YME1L1	ENSG00000136758	YME1L1	ENSMUSG00000026775	Yme1l1	ortholog_one2one	95.1117
BAMBI	ENSG00000095739	BAMBI	ENSMUSG00000024232	Bambi	ortholog_one2one	93.0769
CISD1	ENSG00000122873	CISD1	ENSMUSG00000037710	Cisd1	ortholog_one2one	86.1111
CDK1	ENSG00000170312	CDK1	ENSMUSG00000019942	Cdk1	ortholog_one2one	96.9697
ARID5B	ENSG00000150347	ARID5B	ENSMUSG00000019947	Arid5b	ortholog_one2one	88.0471
ADO	ENSG00000181915	ADO	ENSMUSG00000057134	Ado	ortholog_one2one	85.1852
KIF1BP	ENSG00000198954	KIFBP	ENSMUSG00000036955	Kifbp	ortholog_one2one	91.7874
SUPV3L1	ENSG00000156502	SUPV3L1	ENSMUSG00000020079	Supv3l1	ortholog_one2one	87.4046
HK1	ENSG00000156515	HK1	ENSMUSG00000037012	Hk1	ortholog_one2one	92.8026
PCBD1	ENSG00000166228	PCBD1	ENSMUSG00000020098	Pcbd1	ortholog_one2one	99.0385
DDIT4	ENSG00000168209	DDIT4	ENSMUSG00000020108	Ddit4	ortholog_one2one	90.5172
ECD	ENSG00000122882	ECD	ENSMUSG00000021810	Ecd	ortholog_one2one	78.2609
MRPS16	ENSG00000182180	MRPS16	ENSMUSG00000049960	Mrps16	ortholog_one2one	89.781
ANXA7	ENSG00000138279	ANXA7	ENSMUSG00000021814	Anxa7	ortholog_one2one	92.0601
KAT6B	ENSG00000156650	KAT6B	ENSMUSG00000021767	Kat6b	ortholog_one2one	77.2311
ZMIZ1	ENSG00000108175	ZMIZ1	ENSMUSG00000007817	Zmiz1	ortholog_one2one	98.0319
FAS	ENSG00000026103	FAS	ENSMUSG00000024778	Fas	ortholog_one2one	48.9552
LIPA	ENSG00000107798	LIPA	ENSMUSG00000024781	Lipa	ortholog_one2one	73.9348
IDE	ENSG00000119912	IDE	ENSMUSG00000056999	Ide	ortholog_one2one	95.1914
PDLIM1	ENSG00000107438	PDLIM1	ENSMUSG00000055044	Pdlim1	ortholog_one2one	88.7538
TM9SF3	ENSG00000077147	TM9SF3	ENSMUSG00000025016	Tm9sf3	ortholog_one2one	98.9813
RRP12	ENSG00000052749	RRP12	ENSMUSG00000035049	Rrp12	ortholog_one2one	90.2082
PGAM1	ENSG00000171314	PGAM1	ENSMUSG00000011752	Pgam1	ortholog_one2one	99.6063
NOLC1	ENSG00000166197	NOLC1	ENSMUSG00000015176	Nolc1	ortholog_one2one	71.6738
NFKB2	ENSG00000077150	NFKB2	ENSMUSG00000025225	Nfkb2	ortholog_one2one	91.7778
XPNPEP1	ENSG00000108039	XPNPEP1	ENSMUSG00000025027	Xpnpep1	ortholog_one2one	89.6396
SMNDC1	ENSG00000119953	SMNDC1	ENSMUSG00000025024	Smndc1	ortholog_one2one	99.5798
SMC3	ENSG00000108055	SMC3	ENSMUSG00000024974	Smc3	ortholog_one2one	99.9178
ZDHHC6	ENSG00000023041	ZDHHC6	ENSMUSG00000024982	Zdhhc6	ortholog_one2one	92.2518
CASP7	ENSG00000165806	CASP7	ENSMUSG00000025076	Casp7	ortholog_one2one	82.1782
RAB11FIP2	ENSG00000107560	RAB11FIP2	ENSMUSG00000040022	Rab11fip2	ortholog_one2one	93.3594
BAG3	ENSG00000151929	BAG3	ENSMUSG00000030847	Bag3	ortholog_one2one	84.8696
FGFR2	ENSG00000066468	FGFR2	ENSMUSG00000030849	Fgfr2	ortholog_one2one	97.5639
HTRA1	ENSG00000166033	HTRA1	ENSMUSG00000006205	Htra1	ortholog_one2one	91.875
BNIP3	ENSG00000176171	BNIP3	ENSMUSG00000078566	Bnip3	ortholog_one2one	90.7216
SIRT3	ENSG00000142082	SIRT3	ENSMUSG00000025486	Sirt3	ortholog_one2one	54.6366
RNH1	ENSG00000023191	RNH1	ENSMUSG00000038650	Rnh1	ortholog_one2one	72.885
TSPAN4	ENSG00000214063	TSPAN4	ENSMUSG00000025511	Tspan4	ortholog_one2one	92.437
CTSD	ENSG00000117984	CTSD	ENSMUSG00000007891	Ctsd	ortholog_one2one	80.5825
ARFIP2	ENSG00000132254	ARFIP2	ENSMUSG00000030881	Arfip2	ortholog_one2one	99.1202
RRP8	ENSG00000132275	RRP8	ENSMUSG00000030888	Rrp8	ortholog_one2one	75.8772
ILK	ENSG00000166333	ILK	ENSMUSG00000030890	Ilk	ortholog_one2one	99.5575
NUCB2	ENSG00000070081	NUCB2	ENSMUSG00000030659	Nucb2	ortholog_one2one	85.7143
CAT	ENSG00000121691	CAT	ENSMUSG00000027187	Cat	ortholog_one2one	89.3738
PDHX	ENSG00000110435	PDHX	ENSMUSG00000010914	Pdhx	ortholog_one2one	85.0299
CD44	ENSG00000026508	CD44	ENSMUSG00000005087	Cd44	ortholog_one2one	70.2156
ARHGAP1	ENSG00000175220	ARHGAP1	ENSMUSG00000027247	Arhgap1	ortholog_one2one	96.5831
