paper_dimension	human_symbol	human_ensembl_gene	mouse_ensembl_gene	mouse_symbol	orthology_type	mouse_perc_id	selection_role
228	HES1	ENSG00000114315	ENSMUSG00000022528	Hes1	ortholog_one2one	97.8571	best_ensembl_ortholog
229	BDH1	ENSG00000161267	ENSMUSG00000046598	Bdh1	ortholog_one2one	85.7143	best_ensembl_ortholog
230	MFSD10	ENSG00000109736	ENSMUSG00000001082	Mfsd10	ortholog_one2one	80.2198	best_ensembl_ortholog
231	LRPAP1	ENSG00000163956	ENSMUSG00000029103	Lrpap1	ortholog_one2one	76.1905	best_ensembl_ortholog
232	WFS1	ENSG00000109501	ENSMUSG00000039474	Wfs1	ortholog_one2one	86.8539	best_ensembl_ortholog
233	LAP3	ENSG00000002549	ENSMUSG00000039682	Lap3	ortholog_one2one	90.3661	best_ensembl_ortholog
234	UGDH	ENSG00000109814	ENSMUSG00000029201	Ugdh	ortholog_one2one	97.7733	best_ensembl_ortholog
235	PDS5A	ENSG00000121892	ENSMUSG00000029202	Pds5a	ortholog_one2one	97.9058	best_ensembl_ortholog
236	APBB2	ENSG00000163697	ENSMUSG00000029207	Apbb2	ortholog_one2one	94.0711	best_ensembl_ortholog
237	DCUN1D4	ENSG00000109184	ENSMUSG00000051674	Dcun1d4	ortholog_one2one	96.5753	best_ensembl_ortholog
238	SGCB	ENSG00000163069	ENSMUSG00000029156	Sgcb	ortholog_one2one	94.9686	best_ensembl_ortholog
239	CHIC2	ENSG00000109220	ENSMUSG00000029229	Chic2	ortholog_one2one	99.3939	best_ensembl_ortholog
240	KIT	ENSG00000157404	ENSMUSG00000005672	Kit	ortholog_one2one	82.3771	best_ensembl_ortholog
241	PAICS	ENSG00000128050	ENSMUSG00000029247	Paics	ortholog_one2one	95.0588	best_ensembl_ortholog
242	DCK	ENSG00000156136	ENSMUSG00000029366	Dck	ortholog_one2one	93.4615	best_ensembl_ortholog
243	CXCL2	ENSG00000081041	ENSMUSG00000058427	Cxcl2	case_insensitive_symbol_fallback		exact_symbol_fallback
244	ENOPH1	ENSG00000145293	ENSMUSG00000029326	Enoph1	ortholog_one2one	93.1034	best_ensembl_ortholog
245	HSD17B11	ENSG00000198189	ENSMUSG00000029311	Hsd17b11	ortholog_one2one	82.6667	best_ensembl_ortholog
246	NUDT9	ENSG00000170502	ENSMUSG00000029310	Nudt9	ortholog_one2one	89.4286	best_ensembl_ortholog
247	SPP1	ENSG00000118785	ENSMUSG00000029304	Spp1	ortholog_one2one	63.3758	best_ensembl_ortholog
248	HERC6	ENSG00000138642	ENSMUSG00000029798	Herc6	ortholog_one2one	65.8513	best_ensembl_ortholog
249	SNCA	ENSG00000145335	ENSMUSG00000025889	Snca	ortholog_one2one	88.5714	best_ensembl_ortholog
250	ADH5	ENSG00000197894	ENSMUSG00000028138	Adh5	ortholog_one2one	92.5134	best_ensembl_ortholog
251	CENPE	ENSG00000138778	ENSMUSG00000045328	Cenpe	ortholog_one2one	59.5705	best_ensembl_ortholog
252	HADH	ENSG00000138796	ENSMUSG00000027984	Hadh	ortholog_one2one	89.8089	best_ensembl_ortholog
253	EGF	ENSG00000138798	ENSMUSG00000028017	Egf	ortholog_one2one	66.4457	best_ensembl_ortholog
254	ELOVL6	ENSG00000170522	ENSMUSG00000041220	Elovl6	ortholog_one2one	96.9811	best_ensembl_ortholog
255	CCNA2	ENSG00000145386	ENSMUSG00000027715	Ccna2	ortholog_one2one	85.1852	best_ensembl_ortholog
256	INPP4B	ENSG00000109452	ENSMUSG00000037940	Inpp4b	ortholog_one2one	90.5844	best_ensembl_ortholog
257	LSM6	ENSG00000164167	ENSMUSG00000031683	Lsm6	ortholog_one2one	90.0	best_ensembl_ortholog
258	TRIM2	ENSG00000109654	ENSMUSG00000027993	Trim2	ortholog_one2one	95.7198	best_ensembl_ortholog
259	DCTD	ENSG00000129187	ENSMUSG00000031562	Dctd	ortholog_one2one	92.6966	best_ensembl_ortholog
260	CASP3	ENSG00000164305	ENSMUSG00000031628	Casp3	ortholog_one2one	86.6426	best_ensembl_ortholog
261	SLC25A4	ENSG00000151729	ENSMUSG00000031633	Slc25a4	ortholog_one2one	95.302	best_ensembl_ortholog
262	FAT1	ENSG00000083857	ENSMUSG00000070047	Fat1	ortholog_one2one	88.1648	best_ensembl_ortholog
263	TERT	ENSG00000164362	ENSMUSG00000021611	Tert	ortholog_one2one	61.2191	best_ensembl_ortholog
264	PAPD7	ENSG00000112941	ENSMUSG00000034575	Tent4a	ortholog_one2one	90.404	best_ensembl_ortholog
265	MYO10	ENSG00000145555	ENSMUSG00000022272	Myo10	ortholog_one2one	94.6064	best_ensembl_ortholog
266	RAI14	ENSG00000039560	ENSMUSG00000022246	Rai14	ortholog_one2one	85.2041	best_ensembl_ortholog
267	OXCT1	ENSG00000083720	ENSMUSG00000022186	Oxct1	ortholog_one2one	92.1154	best_ensembl_ortholog
268	GHR	ENSG00000112964	ENSMUSG00000055737	Ghr	ortholog_one2one	69.5925	best_ensembl_ortholog
269	ZNF131	ENSG00000172262	ENSMUSG00000094870	Zfp131	ortholog_one2one	93.5795	best_ensembl_ortholog
270	HMGCS1	ENSG00000112972	ENSMUSG00000093930	Hmgcs1	ortholog_one2one	94.6154	best_ensembl_ortholog
271	NNT	ENSG00000112992	ENSMUSG00000025453	Nnt	ortholog_one2one	72.3757	best_ensembl_ortholog
272	DHX29	ENSG00000067248	ENSMUSG00000042426	Dhx29	ortholog_one2one	90.8692	best_ensembl_ortholog
273	CCNB1	ENSG00000134057	ENSMUSG00000041431	Ccnb1	ortholog_one2one	85.9122	best_ensembl_ortholog
274	CDK7	ENSG00000134058	ENSMUSG00000069089	Cdk7	ortholog_one2one	94.5087	best_ensembl_ortholog
275	HMGCR	ENSG00000113161	ENSMUSG00000021670	Hmgcr	ortholog_one2one	93.4685	best_ensembl_ortholog
276	SSBP2	ENSG00000145687	ENSMUSG00000003992	Ssbp2	ortholog_one2one	97.561	best_ensembl_ortholog
277	RASA1	ENSG00000145715	ENSMUSG00000021549	Rasa1	ortholog_one2one	95.1289	best_ensembl_ortholog
278	CCNH	ENSG00000134480	ENSMUSG00000021548	Ccnh	ortholog_one2one	94.4272	best_ensembl_ortholog
279	MEF2C	ENSG00000081189	ENSMUSG00000005583	Mef2c	ortholog_one2one	97.2516	best_ensembl_ortholog
280	CETN3	ENSG00000153140	ENSMUSG00000021537	Cetn3	ortholog_one2one	98.8024	best_ensembl_ortholog
281	GLRX	ENSG00000173221	ENSMUSG00000021591	Glrx	ortholog_one2one	88.6792	best_ensembl_ortholog
282	CAST	ENSG00000153113	ENSMUSG00000021585	Cast	case_insensitive_symbol_fallback		exact_symbol_fallback
283	SLC25A46	ENSG00000164209	ENSMUSG00000024259	Slc25a46	ortholog_one2one	88.9952	best_ensembl_ortholog
284	REEP5	ENSG00000129625	ENSMUSG00000005873	Reep5	ortholog_one2one	93.6508	best_ensembl_ortholog
285	PPIC	ENSG00000168938	ENSMUSG00000024538	Ppic	ortholog_one2one	90.566	best_ensembl_ortholog
286	ALDH7A1	ENSG00000164904	ENSMUSG00000053644	Aldh7a1	ortholog_one2one	88.1262	best_ensembl_ortholog
287	ISOC1	ENSG00000066583	ENSMUSG00000024601	Isoc1	ortholog_one2one	94.6309	best_ensembl_ortholog
288	P4HA2	ENSG00000072682	ENSMUSG00000018906	P4ha2	ortholog_one2one	91.3696	best_ensembl_ortholog
289	HSPA4	ENSG00000170606	ENSMUSG00000020361	Hspa4	ortholog_one2one	96.0714	best_ensembl_ortholog
290	VDAC1	ENSG00000213585	ENSMUSG00000020402	Vdac1	ortholog_one2one	98.5866	best_ensembl_ortholog
291	SKP1	ENSG00000113558	ENSMUSG00000036309	Skp1	ortholog_one2one	99.3865	best_ensembl_ortholog
292	JADE2	ENSG00000043143	ENSMUSG00000020387	Jade2	ortholog_one2one	90.7674	best_ensembl_ortholog
293	KIF20A	ENSG00000112984	ENSMUSG00000003779	Kif20a	ortholog_one2one	86.8539	best_ensembl_ortholog
294	EGR1	ENSG00000120738	ENSMUSG00000038418	Egr1	ortholog_one2one	91.5285	best_ensembl_ortholog
295	GNPDA1	ENSG00000113552	ENSMUSG00000052102	Gnpda1	ortholog_one2one	96.1938	best_ensembl_ortholog
296	NR3C1	ENSG00000113580	ENSMUSG00000024431	Nr3c1	ortholog_one2one	90.2188	best_ensembl_ortholog
297	TCERG1	ENSG00000113649	ENSMUSG00000024498	Tcerg1	ortholog_one2one	94.4395	best_ensembl_ortholog
298	ADRB2	ENSG00000169252	ENSMUSG00000045730	Adrb2	ortholog_one2one	88.1356	best_ensembl_ortholog
299	CSNK1A1	ENSG00000113712	ENSMUSG00000024576	Csnk1a1	ortholog_one2one	99.7033	best_ensembl_ortholog
300	TNIP1	ENSG00000145901	ENSMUSG00000020400	Tnip1	ortholog_one2one	83.3333	best_ensembl_ortholog
301	G3BP1	ENSG00000145907	ENSMUSG00000018583	G3bp1	ortholog_one2one	93.5622	best_ensembl_ortholog
302	STK10	ENSG00000072786	ENSMUSG00000020272	Stk10	ortholog_one2one	87.7066	best_ensembl_ortholog
303	CLTB	ENSG00000175416	ENSMUSG00000047547	Cltb	ortholog_one2one	87.7729	best_ensembl_ortholog
304	FGFR4	ENSG00000160867	ENSMUSG00000005320	Fgfr4	ortholog_one2one	90.1496	best_ensembl_ortholog
305	PRR7	ENSG00000131188	ENSMUSG00000034686	Prr7	ortholog_one2one	94.5256	best_ensembl_ortholog
306	SQSTM1	ENSG00000161011	ENSMUSG00000015837	Sqstm1	ortholog_one2one	91.1364	best_ensembl_ortholog
307	TBC1D9B	ENSG00000197226	ENSMUSG00000036644	Tbc1d9b	ortholog_one2one	92.2952	best_ensembl_ortholog
308	MAPK9	ENSG00000050748	ENSMUSG00000020366	Mapk9	ortholog_one2one	98.8208	best_ensembl_ortholog
309	DUSP22	ENSG00000112679	ENSMUSG00000069255	Dusp22	ortholog_one2one	90.7317	best_ensembl_ortholog
310	BPHL	ENSG00000137274	ENSMUSG00000038286	Bphl	ortholog_one2one	81.7869	best_ensembl_ortholog
311	TFAP2A	ENSG00000137203	ENSMUSG00000021359	Tfap2a	ortholog_one2one	98.6333	best_ensembl_ortholog
312	EDN1	ENSG00000078401	ENSMUSG00000021367	Edn1	ortholog_one2one	69.3396	best_ensembl_ortholog
313	GFOD1	ENSG00000145990	ENSMUSG00000051335	Gfod1	ortholog_one2one	98.2051	best_ensembl_ortholog
314	MCUR1	ENSG00000050393	ENSMUSG00000021371	Mcur1	ortholog_one2one	69.0808	best_ensembl_ortholog
315	SOX4	ENSG00000124766	ENSMUSG00000076431	Sox4	ortholog_one2one	81.2236	best_ensembl_ortholog
316	GMNN	ENSG00000112312	ENSMUSG00000006715	Gmnn	ortholog_one2one	77.512	best_ensembl_ortholog
317	CARMIL1	ENSG00000079691	ENSMUSG00000021338	Carmil1	ortholog_one2one	89.4967	best_ensembl_ortholog
318	ABCF1	ENSG00000204574	ENSMUSG00000038762	Abcf1	ortholog_one2one	91.2426	best_ensembl_ortholog
319	IER3	ENSG00000137331	ENSMUSG00000003541	Ier3	ortholog_one2one	72.4359	best_ensembl_ortholog
320	DDR1	ENSG00000204580	ENSMUSG00000003534	Ddr1	ortholog_one2one	93.5378	best_ensembl_ortholog
321	HSPA1A	ENSG00000204389	ENSMUSG00000090877	Hspa1b	ortholog_many2many	95.3198	best_ensembl_ortholog
322	SKIV2L	ENSG00000204351	ENSMUSG00000040356	Skic2	ortholog_one2one	93.2584	best_ensembl_ortholog
323	HLA-DRA	ENSG00000204287	ENSMUSG00000036322	H2-Ea	ortholog_one2one	68.1102	best_ensembl_ortholog
324	PSMB8	ENSG00000204264	ENSMUSG00000024338	Psmb8	ortholog_one2one	88.4058	best_ensembl_ortholog
325	HLA-DMA	ENSG00000204257	ENSMUSG00000037649	H2-DMa	ortholog_one2one	75.8621	best_ensembl_ortholog
326	DAXX	ENSG00000204209	ENSMUSG00000002307	Daxx	ortholog_one2one	71.8919	best_ensembl_ortholog
327	SPDEF	ENSG00000124664	ENSMUSG00000024215	Spdef	ortholog_one2one	85.0746	best_ensembl_ortholog
328	PPARD	ENSG00000112033	ENSMUSG00000002250	Ppard	ortholog_one2one	92.2903	best_ensembl_ortholog
329	MAPK13	ENSG00000156711	ENSMUSG00000004864	Mapk13	ortholog_one2one	92.8767	best_ensembl_ortholog
330	CDKN1A	ENSG00000124762	ENSMUSG00000023067	Cdkn1a	ortholog_one2one	76.8293	best_ensembl_ortholog
331	CCND3	ENSG00000112576	ENSMUSG00000034165	Ccnd3	ortholog_one2one	94.5205	best_ensembl_ortholog
332	CNPY3	ENSG00000137161	ENSMUSG00000023973	Cnpy3	ortholog_one2one	87.7698	best_ensembl_ortholog
333	ZNF318	ENSG00000171467	ENSMUSG00000015597	Zfp318	ortholog_one2one	71.9175	best_ensembl_ortholog
334	POLR1C	ENSG00000171453	ENSMUSG00000067148	Polr1c	ortholog_one2one	93.9306	best_ensembl_ortholog
335	NFKBIE	ENSG00000146232	ENSMUSG00000023947	Nfkbie	ortholog_one2one	82.2715	best_ensembl_ortholog
336	TNFRSF21	ENSG00000146072	ENSMUSG00000023915	Tnfrsf21	ortholog_one2one	89.0076	best_ensembl_ortholog
337	MCM3	ENSG00000112118	ENSMUSG00000041859	Mcm3	ortholog_one2one	93.3168	best_ensembl_ortholog
338	TRAM2	ENSG00000065308	ENSMUSG00000041779	Tram2	ortholog_one2one	90.0	best_ensembl_ortholog
339	ZNF451	ENSG00000112200	ENSMUSG00000042197	Zfp451	ortholog_one2one	78.7936	best_ensembl_ortholog
340	SENP6	ENSG00000112701	ENSMUSG00000034252	Senp6	ortholog_one2one	80.8453	best_ensembl_ortholog
341	SLC35A1	ENSG00000164414	ENSMUSG00000028293	Slc35a1	ortholog_one2one	91.3947	best_ensembl_ortholog
342	UBE2J1	ENSG00000198833	ENSMUSG00000028277	Ube2j1	ortholog_one2one	92.4528	best_ensembl_ortholog
343	ASCC3	ENSG00000112249	ENSMUSG00000038774	Ascc3	ortholog_one2one	92.0527	best_ensembl_ortholog
344	FOXO3	ENSG00000118689	ENSMUSG00000048756	Foxo3	ortholog_one2one	94.6508	best_ensembl_ortholog
345	SESN1	ENSG00000080546	ENSMUSG00000038332	Sesn1	ortholog_one2one	82.2142	best_ensembl_ortholog
346	CDK19	ENSG00000155111	ENSMUSG00000038481	Cdk19	ortholog_one2one	96.2151	best_ensembl_ortholog
347	FYN	ENSG00000010810	ENSMUSG00000019843	Fyn	ortholog_one2one	99.4413	best_ensembl_ortholog
348	HDAC2	ENSG00000196591	ENSMUSG00000019777	Hdac2	ortholog_one2one	99.3852	best_ensembl_ortholog
349	PTPRK	ENSG00000152894	ENSMUSG00000019889	Ptprk	ortholog_one2one	98.8194	best_ensembl_ortholog
350	EPB41L2	ENSG00000079819	ENSMUSG00000019978	Epb41l2	ortholog_one2one	82.2886	best_ensembl_ortholog
351	TBPL1	ENSG00000028839	ENSMUSG00000071359	Tbpl1	ortholog_one2one	100.0	best_ensembl_ortholog
352	MAP7	ENSG00000135525	ENSMUSG00000019996	Map7	ortholog_one2one	78.6382	best_ensembl_ortholog
353	PCMT1	ENSG00000120265	ENSMUSG00000019795	Pcmt1	ortholog_one2one	94.7137	best_ensembl_ortholog
354	ACAT2	ENSG00000120437	ENSMUSG00000023832	Acat2	ortholog_one2many	87.6574	best_ensembl_ortholog
355	IGF2R	ENSG00000197081	ENSMUSG00000023830	Igf2r	ortholog_one2one	81.2525	best_ensembl_ortholog
356	MAP3K4	ENSG00000085511	ENSMUSG00000014426	Map3k4	ortholog_one2one	85.8209	best_ensembl_ortholog
357	TBP	ENSG00000112592	ENSMUSG00000014767	Tbp	ortholog_one2one	91.1504	best_ensembl_ortholog
358	PDGFA	ENSG00000197461	ENSMUSG00000025856	Pdgfa	ortholog_one2one	92.3469	best_ensembl_ortholog
359	GPER1	ENSG00000164850	ENSMUSG00000053647	Gper1	ortholog_one2one	86.9333	best_ensembl_ortholog
360	KDELR2	ENSG00000136240	ENSMUSG00000079111	Kdelr2	ortholog_one2one	98.5849	best_ensembl_ortholog
361	RPA3	ENSG00000106399	ENSMUSG00000012483	Rpa3	ortholog_one2one	76.8595	best_ensembl_ortholog
362	ETV1	ENSG00000006468	ENSMUSG00000004151	Etv1	ortholog_one2one	97.9036	best_ensembl_ortholog
363	BZW2	ENSG00000136261	ENSMUSG00000020547	Bzw2	ortholog_one2one	99.0453	best_ensembl_ortholog
364	SNX13	ENSG00000071189	ENSMUSG00000020590	Snx13	ortholog_one2one	97.1787	best_ensembl_ortholog
365	CYCS	ENSG00000172115	ENSMUSG00000058927	Gm10053	ortholog_one2many	91.4286	best_ensembl_ortholog
366	HOXA5	ENSG00000106004	ENSMUSG00000038253	Hoxa5	ortholog_one2one	97.7778	best_ensembl_ortholog
367	HOXA10	ENSG00000253293	ENSMUSG00000000938	Hoxa10	ortholog_one2one	91.2195	best_ensembl_ortholog
368	SCRN1	ENSG00000136193	ENSMUSG00000019124	Scrn1	ortholog_one2one	87.9227	best_ensembl_ortholog
369	FKBP14	ENSG00000106080	ENSMUSG00000038074	Fkbp14	ortholog_one2one	92.891	best_ensembl_ortholog
370	LSM5	ENSG00000106355	ENSMUSG00000091625	Lsm5	ortholog_one2one	100.0	best_ensembl_ortholog
371	RALA	ENSG00000006451	ENSMUSG00000008859	Rala	ortholog_one2one	99.5146	best_ensembl_ortholog
372	BLVRA	ENSG00000106605	ENSMUSG00000001999	Blvra	ortholog_one2one	82.0946	best_ensembl_ortholog
373	YKT6	ENSG00000106636	ENSMUSG00000002741	Ykt6	ortholog_one2one	90.9091	best_ensembl_ortholog
374	NUDCD3	ENSG00000015676	ENSMUSG00000053838	Nudcd3	ortholog_one2one	87.8116	best_ensembl_ortholog
375	H2AFV	ENSG00000105968	ENSMUSG00000041126	H2az2	ortholog_one2one	100.0	best_ensembl_ortholog
376	IGFBP3	ENSG00000146674	ENSMUSG00000020427	Igfbp3	ortholog_one2one	81.7869	best_ensembl_ortholog
377	IKZF1	ENSG00000185811	ENSMUSG00000018654	Ikzf1	ortholog_one2one	92.6782	best_ensembl_ortholog
378	GRB10	ENSG00000106070	ENSMUSG00000020176	Grb10	ortholog_one2one	78.1145	best_ensembl_ortholog
379	EGFR	ENSG00000146648	ENSMUSG00000020122	Egfr	ortholog_one2one	90.4959	best_ensembl_ortholog
380	BCL7B	ENSG00000106635	ENSMUSG00000029681	Bcl7b	ortholog_one2one	96.0396	best_ensembl_ortholog
381	STX1A	ENSG00000106089	ENSMUSG00000007207	Stx1a	ortholog_one2one	98.2639	best_ensembl_ortholog
382	RFC2	ENSG00000049541	ENSMUSG00000023104	Rfc2	ortholog_one2one	91.8079	best_ensembl_ortholog
383	HSPB1	ENSG00000106211	ENSMUSG00000004951	Hspb1	ortholog_one2one	84.3902	best_ensembl_ortholog
384	PTPN12	ENSG00000127947	ENSMUSG00000028771	Ptpn12	ortholog_one2one	84.2308	best_ensembl_ortholog
385	GNAI1	ENSG00000127955	ENSMUSG00000057614	Gnai1	ortholog_one2one	100.0	best_ensembl_ortholog
386	DMTF1	ENSG00000135164	ENSMUSG00000042508	Dmtf1	ortholog_one2many	95.1316	best_ensembl_ortholog
387	FZD1	ENSG00000157240	ENSMUSG00000044674	Fzd1	ortholog_one2one	93.1994	best_ensembl_ortholog
388	CDK6	ENSG00000105810	ENSMUSG00000040274	Cdk6	ortholog_one2one	96.319	best_ensembl_ortholog
389	SLC25A13	ENSG00000004864	ENSMUSG00000015112	Slc25a13	ortholog_one2one	95.4074	best_ensembl_ortholog
390	CPSF4	ENSG00000160917	ENSMUSG00000029625	Cpsf4	ortholog_one2one	99.2565	best_ensembl_ortholog
391	SERPINE1	ENSG00000106366	ENSMUSG00000037411	Serpine1	ortholog_one2one	78.8557	best_ensembl_ortholog
392	PLOD3	ENSG00000106397	ENSMUSG00000004846	Plod3	ortholog_one2one	91.4634	best_ensembl_ortholog
393	FIS1	ENSG00000214253	ENSMUSG00000019054	Fis1	ortholog_one2one	96.0526	best_ensembl_ortholog
394	SYPL1	ENSG00000008282	ENSMUSG00000020570	Sypl1	ortholog_one2one	84.2324	best_ensembl_ortholog
395	DLD	ENSG00000091140	ENSMUSG00000020664	Dld	ortholog_one2one	94.6955	best_ensembl_ortholog
396	TES	ENSG00000135269	ENSMUSG00000029552	Tes	ortholog_one2many	90.7363	best_ensembl_ortholog
397	ST7	ENSG00000004866	ENSMUSG00000029534	St7	ortholog_one2one	95.3206	best_ensembl_ortholog
398	CALU	ENSG00000128595	ENSMUSG00000029767	Calu	ortholog_one2one	98.0952	best_ensembl_ortholog
399	MEST	ENSG00000106484	ENSMUSG00000051855	Mest	ortholog_one2one	81.194	best_ensembl_ortholog
400	CNOT4	ENSG00000080802	ENSMUSG00000038784	Cnot4	ortholog_one2one	97.756	best_ensembl_ortholog
401	CASP2	ENSG00000106144	ENSMUSG00000029863	Casp2	ortholog_one2one	89.6018	best_ensembl_ortholog
402	EZH2	ENSG00000106462	ENSMUSG00000029687	Ezh2	ortholog_one2one	97.6032	best_ensembl_ortholog
403	NOS3	ENSG00000164867	ENSMUSG00000028978	Nos3	ortholog_one2one	94.1812	best_ensembl_ortholog
404	RHEB	ENSG00000106615	ENSMUSG00000028945	Rheb	ortholog_one2one	98.913	best_ensembl_ortholog
405	PRKAG2	ENSG00000106617	ENSMUSG00000028944	Prkag2	ortholog_one2one	87.1705	best_ensembl_ortholog
406	INSIG1	ENSG00000186480	ENSMUSG00000045294	Insig1	ortholog_one2one	76.5343	best_ensembl_ortholog
407	UBE3C	ENSG00000009335	ENSMUSG00000039000	Ube3c	ortholog_one2one	93.3518	best_ensembl_ortholog
408	DNAJB6	ENSG00000105993	ENSMUSG00000029131	Dnajb6	ortholog_one2one	85.5828	best_ensembl_ortholog
409	MSRA	ENSG00000175806	ENSMUSG00000054733	Msra	ortholog_one2one	73.617	best_ensembl_ortholog
410	FDFT1	ENSG00000079459	ENSMUSG00000021273	Fdft1	ortholog_one2one	87.53	best_ensembl_ortholog
411	PCM1	ENSG00000078674	ENSMUSG00000031592	Pcm1	ortholog_one2one	88.7352	best_ensembl_ortholog
412	ASAH1	ENSG00000104763	ENSMUSG00000031591	Asah1	ortholog_one2one	79.2405	best_ensembl_ortholog
413	XPO7	ENSG00000130227	ENSMUSG00000022100	Xpo7	ortholog_one2one	99.264	best_ensembl_ortholog
414	SORBS3	ENSG00000120896	ENSMUSG00000022091	Sorbs3	ortholog_one2one	78.9866	best_ensembl_ortholog
415	BNIP3L	ENSG00000104765	ENSMUSG00000022051	Bnip3l	ortholog_one2one	96.8036	best_ensembl_ortholog
416	PTK2B	ENSG00000120899	ENSMUSG00000059456	Ptk2b	ortholog_one2one	95.441	best_ensembl_ortholog
417	ZNF395	ENSG00000186918	ENSMUSG00000034522	Zfp395	ortholog_one2one	82.0663	best_ensembl_ortholog
418	DUSP4	ENSG00000120875	ENSMUSG00000031530	Dusp4	ortholog_one2one	96.9543	best_ensembl_ortholog
419	GTF2E2	ENSG00000197265	ENSMUSG00000031585	Gtf2e2	ortholog_one2one	94.1581	best_ensembl_ortholog
420	EIF4EBP1	ENSG00000187840	ENSMUSG00000031490	Eif4ebp1	ortholog_one2one	90.678	best_ensembl_ortholog
421	KAT6A	ENSG00000083168	ENSMUSG00000031540	Kat6a	ortholog_one2one	88.3234	best_ensembl_ortholog
422	IKBKB	ENSG00000104365	ENSMUSG00000031537	Ikbkb	ortholog_one2one	92.5926	best_ensembl_ortholog
423	POLB	ENSG00000070501	ENSMUSG00000031536	Polb	ortholog_one2one	96.4179	best_ensembl_ortholog
424	CEBPD	ENSG00000221869	ENSMUSG00000071637	Cebpd	ortholog_one2one	84.7584	best_ensembl_ortholog
425	LYPLA1	ENSG00000120992	ENSMUSG00000025903	Lypla1	ortholog_one2one	91.7391	best_ensembl_ortholog
426	LYN	ENSG00000254087	ENSMUSG00000042228	Lyn	ortholog_one2one	64.0625	best_ensembl_ortholog
427	MTFR1	ENSG00000066855	ENSMUSG00000027601	Mtfr1	ortholog_one2one	76.2763	best_ensembl_ortholog
428	RRS1	ENSG00000179041	ENSMUSG00000061024	Rrs1	ortholog_one2one	90.6849	best_ensembl_ortholog
429	CPNE3	ENSG00000085719	ENSMUSG00000028228	Cpne3	ortholog_one2one	93.6685	best_ensembl_ortholog
430	DECR1	ENSG00000104325	ENSMUSG00000028223	Decr1	ortholog_one2one	82.3881	best_ensembl_ortholog
431	CCNE2	ENSG00000175305	ENSMUSG00000028212	Ccne2	ortholog_one2one	92.3267	best_ensembl_ortholog
432	MTERF3	ENSG00000156469	ENSMUSG00000021519	Mterf3	ortholog_one2one	75.7794	best_ensembl_ortholog
433	POLR2K	ENSG00000147669	ENSMUSG00000045996	Polr2k	case_insensitive_symbol_fallback		exact_symbol_fallback
434	EXT1	ENSG00000182197	ENSMUSG00000061731	Ext1	ortholog_one2one	99.3298	best_ensembl_ortholog
435	TBC1D31	ENSG00000156787	ENSMUSG00000022364	Tbc1d31	ortholog_one2one	78.7054	best_ensembl_ortholog
436	WASHC5	ENSG00000164961	ENSMUSG00000022350	Washc5	ortholog_one2one	95.7722	best_ensembl_ortholog
437	TRIB1	ENSG00000173334	ENSMUSG00000032501	Trib1	ortholog_one2one	93.8172	best_ensembl_ortholog
438	MYC	ENSG00000136997	ENSMUSG00000022346	Myc	ortholog_one2one	90.0881	best_ensembl_ortholog
439	PTK2	ENSG00000169398	ENSMUSG00000022607	Ptk2	ortholog_one2one	96.8978	best_ensembl_ortholog
440	TSTA3	ENSG00000104522	ENSMUSG00000022570	Gfus	ortholog_one2one	93.7695	best_ensembl_ortholog
441	PUF60	ENSG00000179950	ENSMUSG00000002524	Puf60	ortholog_one2one	78.5331	best_ensembl_ortholog
442	EXOSC4	ENSG00000178896	ENSMUSG00000034259	Exosc4	ortholog_one2one	95.9184	best_ensembl_ortholog
443	VPS28	ENSG00000160948	ENSMUSG00000115987	Vps28	ortholog_one2one	98.6425	best_ensembl_ortholog
444	PSIP1	ENSG00000164985	ENSMUSG00000028484	Psip1	ortholog_one2one	92.2642	best_ensembl_ortholog
445	RRAGA	ENSG00000155876	ENSMUSG00000070934	Rraga	ortholog_one2one	100.0	best_ensembl_ortholog
446	RPS6	ENSG00000137154	ENSMUSG00000028495	Rps6	case_insensitive_symbol_fallback		exact_symbol_fallback
447	KLHL9	ENSG00000198642	ENSMUSG00000070923	Klhl9	ortholog_one2one	98.7034	best_ensembl_ortholog
448	CDKN2A	ENSG00000147889	ENSMUSG00000044303	Cdkn2a	ortholog_one2one	62.1795	best_ensembl_ortholog
449	TESK1	ENSG00000107140	ENSMUSG00000028458	Tesk1	ortholog_one2one	92.9712	best_ensembl_ortholog
450	MELK	ENSG00000165304	ENSMUSG00000035683	Melk	ortholog_one2one	83.1029	best_ensembl_ortholog
451	SHB	ENSG00000107338	ENSMUSG00000044813	Shb	ortholog_one2one	92.7308	best_ensembl_ortholog
452	TMEM2	ENSG00000135048	ENSMUSG00000024754	Cemip2	ortholog_one2one	86.7679	best_ensembl_ortholog
453	TLE1	ENSG00000196781	ENSMUSG00000008305	Tle1	ortholog_one2one	97.6623	best_ensembl_ortholog
454	CTSL	ENSG00000135047	ENSMUSG00000021477	Ctsl	case_insensitive_symbol_fallback		exact_symbol_fallback
455	SYK	ENSG00000165025	ENSMUSG00000021457	Syk	ortholog_one2one	91.4961	best_ensembl_ortholog
456	NFIL3	ENSG00000165030	ENSMUSG00000056749	Nfil3	ortholog_one2one	84.4156	best_ensembl_ortholog
457	TEX10	ENSG00000136891	ENSMUSG00000028345	Tex10	ortholog_one2one	88.8052	best_ensembl_ortholog
