model	term	observed_direction	gene_level_support_strength	fdr_gene_direction_call	median_hvg_direction_vs_pathway	n_pathway_genes_total	n_pathway_genes_measured_hvg	n_any_fdr05	n_nominal_p05	fraction_any_fdr05	fraction_nominal_p05	n_sig_genes_same_direction_as_pathway	n_sig_genes_opposite_direction_to_pathway	median_pooled_log2cpm_flt_minus_gc	top_gene_examples	review_rationale
skin_hvg	R-MMU-446203_ASPARAGINE_N_LINKED_GLYCOSYLATION	FLT_up	moderate	mostly_same_direction	same	267	31	3	12	0.0967741935483871	0.3870967741935484	3	0	0.0278891330318797	Mgat3:+0.30,q=0.0184; St3gal1:+0.26,q=0.04; ENSMUSG00000037306:+0.23,q=0.0441; Tgfa:-0.34,q=0.0561; Tubb3:-0.94,q=0.0773; B4galt5:+0.24,q=0.0921; Sptb:+0.50,q=0.115; St8sia6:-0.38,q=0.138	Increased N-glycosylation could accompany receptor, ECM, and barrier protein processing under stress.
skin_hvg	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	FLT_up	strong	mostly_same_direction	opposite	127	24	4	9	0.1666666666666666	0.375	3	1	-0.0795930176918711	Arrb1:+0.25,q=0.0123; Adcy5:+0.45,q=0.0345; Cdon:+0.28,q=0.0354; Gli3:-0.27,q=0.0458; Adcy1:+0.38,q=0.0529; Adcy2:+0.31,q=0.0529; Shh:-0.77,q=0.0628; Tubb3:-0.94,q=0.0773	Hair-cycle dysregulation after ISS flight makes Hedgehog activity biologically plausible.
skin_hvg	R-MMU-9012999_RHO_GTPASE_CYCLE	FLT_up	strong	mostly_opposite_direction	opposite	413	108	13	40	0.1203703703703703	0.3703703703703703	5	8	-0.0049910267895882	Dlc1:+0.29,q=0.0123; Fgd5:+0.36,q=0.0283; Arhgap31:+0.15,q=0.0324; Akap12:+0.37,q=0.0345; Arhgef2:+0.19,q=0.0441; Dsp:-0.19,q=0.0441; Arhgap11a:-0.26,q=0.0482; Gja1:-0.56,q=0.0482	RHO GTPase cycling can mediate cell shape, adhesion, and migration changes in stressed skin.
skin_hvg	R-MMU-8957322_METABOLISM_OF_STEROIDS	FLT_up	moderate	mixed_tie	opposite	133	29	2	7	0.0689655172413793	0.2413793103448276	1	1	-0.0613526379665039	Cyp17a1:-0.62,q=0.0236; Hsd11b1:+0.48,q=0.0354; Hsd3b7:+0.22,q=0.0587; Sqle:-0.20,q=0.09; Hsd3b6:-0.42,q=0.101; Stard4:-0.20,q=0.103; Vdr:-0.25,q=0.121; Akr1c18:-0.53,q=0.214	Steroid metabolism can shape local stress, inflammation, and barrier responses in skin.
skin_hvg	R-MMU-70326_GLUCOSE_METABOLISM	FLT_up	strong	mostly_opposite_direction	same	73	15	3	5	0.2	0.3333333333333333	1	2	0.1107878334164116	Slc37a2:-0.30,q=0.0198; Fbp2:+0.74,q=0.0363; Fbp1:-1.44,q=0.0441; Pgk1:+0.15,q=0.141; Pfkm:+0.44,q=0.149; Eno3:+0.49,q=0.168; Hk2:+0.12,q=0.219; Hk3:+0.20,q=0.28	Glucose metabolism can support repair, proliferation, and redox demands in stressed skin.
skin_hvg	R-MMU-112316_NEURONAL_SYSTEM	FLT_up	moderate	mostly_same_direction	same	332	51	2	16	0.0392156862745098	0.3137254901960784	2	0	0.1006060162417181	Gabbr1:+0.20,q=0.0177; Adcy5:+0.45,q=0.0345; Adcy1:+0.38,q=0.0529; Adcy2:+0.31,q=0.0529; Kcnc1:+0.56,q=0.0607; Kcnn3:+0.35,q=0.0622; Kcna6:+0.32,q=0.0774; Rps6ka6:-0.25,q=0.0913	The signal may reflect cutaneous innervation or sensory stress rather than a direct spaceflight skin pathway.
skin_hvg	R-MMU-195258_RHO_GTPASE_EFFECTORS	FLT_up	strong	mostly_opposite_direction	opposite	243	59	9	33	0.1525423728813559	0.559322033898305	1	8	-0.1848191809981294	Kntc1:-0.46,q=0.0272; Cenpe:-0.59,q=0.0377; Cenpf:-0.51,q=0.0401; Sgo1:-0.51,q=0.0435; Ppp1r12b:+0.27,q=0.0441; Kif2c:-0.55,q=0.047; Diaph3:-0.34,q=0.0482; Bub1:-0.57,q=0.0487	RHO effectors fit keratinocyte migration, immune-cell movement, and mechanotransduction during disturbed repair.
skin_hvg	R-MMU-2672351_STIMULI_SENSING_CHANNELS	FLT_up	moderate	mostly_opposite_direction	opposite	101	21	2	3	0.0952380952380952	0.1428571428571428	0	2	-0.019826009976505	Trpv3:-0.51,q=0.0344; Trpm1:-1.01,q=0.0493; Sgk1:-0.15,q=0.12; Ryr1:+0.52,q=0.176; Trpm3:+0.23,q=0.207; Ripk3:-0.16,q=0.217; Ano5:+0.47,q=0.231; Ttyh2:-0.16,q=0.376	Stimuli-sensing channels could reflect itch, pain, or environmental stress sensing in cutaneous nerves and keratinocytes.
skin_hvg	R-MMU-388396_GPCR_DOWNSTREAM_SIGNALLING	FLT_up	strong	mostly_same_direction	same	592	142	12	42	0.0845070422535211	0.2957746478873239	8	4	0.1238456694158585	Itpr1:+0.30,q=0.00232; Arrb1:+0.25,q=0.0123; Ccl5:+0.50,q=0.0126; Gabbr1:+0.20,q=0.0177; Pde4d:+0.34,q=0.0198; Mc5r:-0.43,q=0.0216; ENSMUSG00000049112:+0.48,q=0.0239; Adcy5:+0.45,q=0.0345	GPCR signaling can mediate inflammatory, vascular, sensory, and stress-hormone responses in skin.
skin_hvg	R-MMU-428157_SPHINGOLIPID_METABOLISM	FLT_up	moderate	mostly_opposite_direction	same	92	28	3	5	0.1071428571428571	0.1785714285714285	1	2	0.0009164021959455	Plpp3:+0.29,q=0.0188; Cers3:-0.26,q=0.0283; Sptssb:-1.03,q=0.0482; Plpp1:+0.16,q=0.0897; B4galt5:+0.24,q=0.0921; Degs2:-0.38,q=0.169; B3gnt5:-0.41,q=0.206; Acer1:-0.14,q=0.244	Sphingolipids are core barrier lipids and inflammatory mediators in epidermal stress.
skin_hvg	R-MMU-3928665_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS	FLT_up	none	no_fdr_genes	opposite	34	14	0	4	0.0	0.2857142857142857	0	0	-0.0515239565905814	Epha4:-0.28,q=0.0606; Ephb1:-0.58,q=0.0807; Epha1:-0.25,q=0.158; Lyn:+0.17,q=0.196; Mmp9:+0.25,q=0.232; Mmp2:+0.24,q=0.286; Vav3:-0.11,q=0.341; Epha2:-0.24,q=0.346	Cell repulsion and guidance could contribute to wound repair or innervation changes, without direct pathway evidence.
skin_hvg	R-MMU-983169_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	FLT_up	none	no_fdr_genes	same	333	36	0	12	0.0	0.3333333333333333	0	0	0.1262856196388115	ENSMUSG00000070327:+0.20,q=0.0606; Uba7:+0.30,q=0.0617; Ube2c:-0.36,q=0.096; Cd36:+0.35,q=0.0974; Cdc20:-0.46,q=0.1; Mylip:+0.08,q=0.103; Dtx3l:+0.20,q=0.125; Ccnf:-0.26,q=0.157	Class I antigen processing could rise with IFN activity, although specific HLA/skin-layer findings are not uniformly up.
skin_hvg	R-MMU-196854_METABOLISM_OF_VITAMINS_AND_COFACTORS	FLT_up	moderate	mostly_opposite_direction	opposite	179	44	3	9	0.0681818181818181	0.2045454545454545	0	3	-0.0138510767196202	Rbp2:-0.42,q=0.0236; Lrat:-0.71,q=0.038; Lrp2:-0.66,q=0.0483; Cd38:+0.45,q=0.0529; Sdc4:+0.12,q=0.0553; Rbp1:-0.35,q=0.121; Lrp8:-0.32,q=0.149; Aox1:+0.22,q=0.159	Vitamin and cofactor metabolism can modulate barrier, redox, and immune responses in stressed skin.
skin_hvg	R-MMU-1632852_MACROAUTOPHAGY	FLT_up	none	no_fdr_genes	opposite	129	14	0	4	0.0	0.2857142857142857	0	0	-0.0336339214279943	Tubb3:-0.94,q=0.0773; ENSMUSG00000038295:-0.39,q=0.11; ENSMUSG00000028518:+0.36,q=0.127; Tuba1c:-0.27,q=0.162; Gabarapl1:+0.12,q=0.165; Rragd:+0.45,q=0.168; Tubb2b:-0.18,q=0.173; Pink1:+0.24,q=0.245	Macroautophagy could complement oxidative stress, mitochondrial damage, and cell survival remodeling.
skin_hvg	R-MMU-1500931_CELL_CELL_COMMUNICATION	FLT_up	strong	mostly_same_direction	opposite	273	87	5	17	0.057471264367816	0.1954022988505747	4	1	-0.0338569233662404	Cdh5:+0.40,q=0.00791; Il6st:+0.20,q=0.0123; Parvb:+0.35,q=0.0268; Cdh6:-0.94,q=0.0441; Adam19:+0.17,q=0.0493; Amot:+0.41,q=0.0529; Fyb:+0.21,q=0.0618; Fermt2:+0.22,q=0.0637	Cell-cell communication can capture keratinocyte-immune-fibroblast crosstalk during inflammation and repair.
skin_hvg	R-MMU-112314_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	FLT_up	moderate	mostly_same_direction	same	142	21	2	8	0.0952380952380952	0.3809523809523809	2	0	0.0816900144217216	Gabbr1:+0.20,q=0.0177; Adcy5:+0.45,q=0.0345; Adcy1:+0.38,q=0.0529; Adcy2:+0.31,q=0.0529; Rps6ka6:-0.25,q=0.0913; Myo6:-0.18,q=0.109; Actn2:+0.60,q=0.11; Ncald:-0.17,q=0.141	Neurotransmitter receptor changes could reflect sensory or neuroendocrine remodeling in skin.
skin_hvg	R-MMU-5362517_SIGNALING_BY_RETINOIC_ACID	FLT_up	moderate	mostly_opposite_direction	same	48	15	2	7	0.1333333333333333	0.4666666666666667	0	2	0.0275525064384165	Aldh1a3:-0.52,q=0.0401; Dhrs9:-0.66,q=0.0493; Fabp5:-0.42,q=0.0507; Aldh1a1:+0.41,q=0.0555; Crabp2:-0.31,q=0.0589; Pdk2:+0.37,q=0.0675; Cyp26b1:+0.27,q=0.134; Pdk4:+0.42,q=0.205	Retinoic acid signaling could complement barrier repair and differentiation responses, without direct support for up-regulation.
skin_hvg	R-MMU-199418_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	FLT_up	weak	mostly_opposite_direction	same	116	36	1	13	0.0277777777777777	0.3611111111111111	0	1	0.0776825088844899	ENSMUSG00000062991:-0.63,q=0.0208; Tgfa:-0.34,q=0.0561; Ereg:-0.36,q=0.0577; Fgf5:-0.77,q=0.0996; Pdgfrb:+0.28,q=0.106; Pik3r3:-0.39,q=0.107; Fgfr1:+0.16,q=0.11; Fgf1:+0.22,q=0.129	Negative PI3K/AKT regulation could fit delayed regeneration or stress signaling, yet pathway direction is not documented.
skin_hvg	R-MMU-5578775_ION_HOMEOSTASIS	FLT_up	moderate	mostly_same_direction	same	52	19	2	8	0.1052631578947368	0.4210526315789473	2	0	0.2944351555655755	Itpr1:+0.30,q=0.00232; Atp2a3:+0.38,q=0.0493; ENSMUSG00000040907:+0.42,q=0.0533; Fxyd6:+0.26,q=0.0639; Atp1b2:+0.42,q=0.0755; Abcc9:+0.31,q=0.0966; Slc8a1:+0.24,q=0.108; Atp1a2:+0.39,q=0.118	Ion homeostasis could reflect calcium and electrolyte changes during barrier repair or irritation.
skin_hvg	R-MMU-195721_SIGNALING_BY_WNT	FLT_up	moderate	mostly_opposite_direction	same	223	37	2	9	0.054054054054054	0.2432432432432432	0	2	0.0156221184344049	Wnt10b:-0.31,q=0.0478; Wnt5a:-0.37,q=0.0499; Lef1:-0.66,q=0.0723; Fzd5:-0.38,q=0.0807; Wnt7a:+0.21,q=0.146; Fzd4:+0.22,q=0.147; Ror1:-0.14,q=0.15; Prickle1:-0.17,q=0.151	Spaceflight hair-cycle changes make Wnt activation plausible as a complementary repair/development signal.
skin_hvg	R-MMU-1971475_GLYCOSAMINOGLYCAN_PROTEIN_LINKAGE_REGION_BIOSYNTHESIS	FLT_up	weak	mostly_opposite_direction	same	27	13	1	2	0.0769230769230769	0.1538461538461538	0	1	0.0003137749555897	Vcan:-0.46,q=0.0441; Sdc4:+0.12,q=0.0553; Sdc1:-0.21,q=0.256; Gpc6:+0.07,q=0.368; Sdc3:+0.14,q=0.38; Bgn:-0.10,q=0.424; Gpc3:-0.11,q=0.543; Gpc4:-0.06,q=0.556	Protein-GAG linkage synthesis could accompany matrix repair and proteoglycan turnover.
skin_hvg	R-MMU-2990846_SUMOYLATION	FLT_up	moderate	mostly_opposite_direction	opposite	166	24	3	10	0.125	0.4166666666666667	1	2	-0.1169200659896114	Brca1:-0.48,q=0.0401; Satb1:+0.36,q=0.0441; Top2a:-0.48,q=0.0484; Cdca8:-0.40,q=0.0529; Ar:+0.20,q=0.0807; ENSMUSG00000020897:-0.40,q=0.11; Vdr:-0.25,q=0.121; Esr1:+0.24,q=0.146	Increased SUMOylation could support chromatin, DNA repair, and proteostasis under radiation/oxidative stress.
skin_hvg	R-MMU-425407_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	FLT_up	strong	mostly_opposite_direction	same	230	67	12	34	0.1791044776119403	0.5074626865671642	2	10	0.0666004397900232	Slc34a2:-0.78,q=0.0132; ENSMUSG00000021565:-0.68,q=0.0236; Slc7a11:-1.18,q=0.0252; Slc39a8:-0.61,q=0.0278; Slc30a1:-0.56,q=0.0392; Slc24a5:-1.04,q=0.0441; Slc16a7:-0.48,q=0.0441; Slc24a4:-1.01,q=0.047	The broad transporter signal may support amino-acid, ion, or metabolite shifts after flight.
skin_hvg	R-MMU-983712_ION_CHANNEL_TRANSPORT	FLT_up	moderate	mostly_opposite_direction	opposite	176	41	3	11	0.073170731707317	0.2682926829268293	1	2	-0.0182079207116001	Trpv3:-0.51,q=0.0344; Atp2a3:+0.38,q=0.0493; Trpm1:-1.01,q=0.0493; Atp13a4:-0.97,q=0.0507; ENSMUSG00000040907:+0.42,q=0.0533; Fxyd6:+0.26,q=0.0639; Atp1b2:+0.42,q=0.0755; Atp1a2:+0.39,q=0.118	Ion-channel transport may accompany irritation, barrier repair, and fluid shifts, but evidence is nonspecific.
skin_hvg	R-MMU-372790_SIGNALING_BY_GPCR	FLT_up	strong	mostly_same_direction	same	627	155	13	44	0.0838709677419354	0.2838709677419355	9	4	0.1241197147895292	Itpr1:+0.30,q=0.00232; Arrb1:+0.25,q=0.0123; Ccl5:+0.50,q=0.0126; Gabbr1:+0.20,q=0.0177; Pde4d:+0.34,q=0.0198; Mc5r:-0.43,q=0.0216; ENSMUSG00000049112:+0.48,q=0.0239; S1pr1:+0.35,q=0.0328	The signal could reflect stress-hormone, chemokine, or sensory receptor remodeling after flight.
skin_hvg	R-MMU-9769740_COAGULATION_PATHWAY	FLT_up	none	no_fdr_genes	same	56	25	0	5	0.0	0.2	0	0	0.0209780034159727	Sdc4:+0.12,q=0.0553; Serpine2:+0.22,q=0.0655; Itgb3:+0.19,q=0.131; Procr:-0.37,q=0.151; Vwf:+0.29,q=0.155; Ano5:+0.47,q=0.231; F5:-0.28,q=0.248; Sdc1:-0.21,q=0.256	Coagulation can support hemostasis and inflammatory repair, yet no direct skin-spaceflight up-regulation is shown.
skin_hvg	R-MMU-8875878_MET_PROMOTES_CELL_MOTILITY	FLT_up	weak	mostly_opposite_direction	same	30	15	1	4	0.0666666666666666	0.2666666666666666	0	1	0.0266349590997165	Col11a1:-0.70,q=0.0441; ENSMUSG00000019846:+0.20,q=0.0862; Col2a1:-0.16,q=0.141; Col3a1:-0.17,q=0.517; Itga2:+0.08,q=0.546; Col27a1:+0.09,q=0.591; Col5a3:+0.10,q=0.595; Met:+0.05,q=0.68	Cell motility signaling could complement barrier repair and microgravity-altered wound closure.
skin_hvg	R-MMU-352230_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	FLT_up	moderate	mostly_opposite_direction	opposite	31	17	2	8	0.1176470588235294	0.4705882352941176	0	2	-0.0850576113524148	ENSMUSG00000021565:-0.68,q=0.0236; Slc7a11:-1.18,q=0.0252; Slc7a1:-0.43,q=0.0529; Slc16a10:+0.18,q=0.0689; Slc7a8:-0.65,q=0.104; Slc1a4:-0.18,q=0.123; Slc1a5:+0.28,q=0.134; Slc7a5:-0.33,q=0.16	Amino-acid transport can support proliferative and stress-metabolic needs after flight.
skin_hvg	R-MMU-2129379_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	FLT_up	weak	mostly_same_direction	same	32	26	1	6	0.0384615384615384	0.2307692307692307	1	0	0.0681998798019916	Ltbp2:+0.41,q=0.04; Bmp2:+0.16,q=0.126; Itgb3:+0.19,q=0.131; Ltbp1:+0.16,q=0.151; Eln:+0.28,q=0.159; Itgb8:-0.20,q=0.177; Tgfb3:+0.15,q=0.183; Itgb6:-0.17,q=0.214	Elastic-fibre molecules may indicate dermal matrix turnover after atrophy or loss of elasticity.
skin_hvg	R-MMU-5688426_DEUBIQUITINATION	FLT_up	strong	mixed_tie	same	240	38	6	14	0.1578947368421052	0.3684210526315789	3	3	0.01186955811407	Smad3:+0.17,q=0.0112; Arrb1:+0.25,q=0.0123; Clspn:-0.50,q=0.0268; Usp18:+0.29,q=0.0363; Brca1:-0.48,q=0.0401; Cdk1:-0.47,q=0.0493; Ccna2:-0.47,q=0.0577; Ar:+0.20,q=0.0807	This protein-turnover signal could complement stress adaptation but has no direct pathway evidence.
skin_hvg	R-MMU-9748784_DRUG_ADME	FLT_up	moderate	mostly_same_direction	same	117	33	4	10	0.1212121212121212	0.303030303030303	4	0	0.0443152501278323	Cyp2d22:+0.35,q=0.00791; Abcb1a:+0.31,q=0.0282; Hsd11b1:+0.48,q=0.0354; Slco2b1:+0.34,q=0.0478; Abcc5:+0.14,q=0.0589; Gsta1:-0.31,q=0.0639; Xdh:+0.14,q=0.0921; Ggt1:-1.00,q=0.0922	This likely reflects xenobiotic/oxidation enzymes rather than actual drug exposure.
skin_hvg	R-MMU-76002_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	FLT_up	strong	mostly_same_direction	same	250	83	5	18	0.0602409638554216	0.216867469879518	5	0	0.1159646072064699	Itpr1:+0.30,q=0.00232; Vegfa:+0.34,q=0.0123; Arrb1:+0.25,q=0.0123; Pecam1:+0.34,q=0.016; Igf2:+0.33,q=0.0434; Pcdh7:-0.14,q=0.0699; Cd36:+0.35,q=0.0974; Rasgrp1:+0.21,q=0.105	Platelet signaling could mark vascular or hemostatic response in skin, though tissue evidence is limited.
skin_hvg	R-MMU-1483206_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	FLT_up	weak	mostly_opposite_direction	opposite	117	22	1	6	0.0454545454545454	0.2727272727272727	0	1	-0.0489821554071236	Liph:-0.26,q=0.0493; Phospho1:+0.41,q=0.0561; Plbd1:-0.19,q=0.0563; ENSMUSG00000046971:-0.25,q=0.0622; Plaat3:+0.25,q=0.0825; Pnpla2:+0.34,q=0.123; ENSMUSG00000098488:-0.38,q=0.168; Gpd1:+0.27,q=0.208	Glycerophospholipid biosynthesis can support membrane repair and oxidized-lipid turnover in stressed skin.
skin_hvg	R-MMU-1236975_ANTIGEN_PROCESSING_CROSS_PRESENTATION	FLT_up	none	no_fdr_genes	same	68	16	0	2	0.0	0.125	0	0	0.1577936807417983	Cd36:+0.35,q=0.0974; H2-Q10:+0.23,q=0.174; Mrc2:+0.27,q=0.244; H2-T22:+0.13,q=0.28; Psmb8:+0.17,q=0.343; H2-Q7:+0.52,q=0.348; Fcgr1:+0.19,q=0.356; H2-M5:+0.16,q=0.463	Antigen cross-presentation could reflect dendritic or macrophage activity in inflamed skin.
skin_hvg	R-MMU-186797_SIGNALING_BY_PDGF	FLT_up	none	no_fdr_genes	same	53	26	0	3	0.0	0.1153846153846153	0	0	0.0724995928818321	Pdgfc:+0.21,q=0.101; Pdgfrb:+0.28,q=0.106; Col2a1:-0.16,q=0.141; Pik3r1:+0.12,q=0.246; Col9a2:+0.20,q=0.259; Col6a3:-0.13,q=0.378; Thbs4:-0.16,q=0.429; Thbs3:+0.13,q=0.434	PDGF signaling could contribute to dermal matrix and vascular repair after stress.
skin_hvg	R-MMU-9006934_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	FLT_up	strong	mostly_same_direction	same	410	128	11	40	0.0859375	0.3125	7	4	0.0390780903479042	Flt1:+0.36,q=0.00492; Cdh5:+0.40,q=0.00791; Vegfa:+0.34,q=0.0123; Kdr:+0.40,q=0.0142; ENSMUSG00000062991:-0.63,q=0.0208; Tgfbr3:+0.25,q=0.0265; Flrt3:-0.41,q=0.038; Nrp1:+0.25,q=0.04	RTK signaling could feed MAPK/KRAS, growth, and repair pathways during skin stress.
skin_hvg	R-MMU-373755_SEMAPHORIN_INTERACTIONS	FLT_up	moderate	mostly_same_direction	same	51	21	2	7	0.0952380952380952	0.3333333333333333	2	0	0.0442641379750021	Dpysl2:+0.26,q=0.0374; Nrp1:+0.25,q=0.04; Plxna4:+0.20,q=0.0589; Sema6d:+0.19,q=0.0655; Plxnd1:+0.30,q=0.15; Ptprc:+0.25,q=0.21; Rhoc:+0.16,q=0.211; Plxna2:-0.15,q=0.235	The pathway may complement cutaneous innervation or immune migration changes, with indirect support only.
skin_hvg	R-MMU-9769739_REGULATION_OF_CLOTTING_CASCADE	FLT_up	none	no_fdr_genes	same	49	23	0	4	0.0	0.1739130434782608	0	0	0.01055245943484	Sdc4:+0.12,q=0.0553; Serpine2:+0.22,q=0.0655; Procr:-0.37,q=0.151; Vwf:+0.29,q=0.155; Ano5:+0.47,q=0.231; F5:-0.28,q=0.248; Sdc1:-0.21,q=0.256; Serpine1:-0.41,q=0.301	Clotting cascade regulation could complement tissue injury and repair, without direct skin evidence.
skin_hvg	R-MMU-381426_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	FLT_up	strong	mostly_same_direction	same	120	53	6	17	0.1132075471698113	0.320754716981132	4	2	0.1221425160741755	Igfbp3:+0.40,q=0.0256; Igf2:+0.33,q=0.0434; Tnc:-0.73,q=0.0435; Vcan:-0.46,q=0.0441; Stc2:+0.32,q=0.046; Csf1:+0.24,q=0.0493; Pappa2:+0.33,q=0.054; ENSMUSG00000028370:-0.28,q=0.0635	IGF transport may connect exercise, nutrition, and repair signaling to epidermal remodeling.
skin_hvg	R-MMU-556833_METABOLISM_OF_LIPIDS	FLT_up	strong	mostly_opposite_direction	opposite	628	151	10	37	0.0662251655629139	0.2450331125827814	3	7	-0.0216450318004834	Cyp2d22:+0.35,q=0.00791; Plpp3:+0.29,q=0.0188; Cyp17a1:-0.62,q=0.0236; Cers3:-0.26,q=0.0283; Hsd11b1:+0.48,q=0.0354; Alox8:-0.93,q=0.0435; Bdh1:-0.57,q=0.0441; Sptssb:-1.03,q=0.0482	Lipid metabolism could reflect barrier repair, membrane remodeling, and oxidized-lipid handling.
skin_hvg	R-MMU-1566948_ELASTIC_FIBRE_FORMATION	FLT_up	weak	mostly_same_direction	same	39	32	1	8	0.03125	0.25	1	0	0.0859264758559765	Ltbp2:+0.41,q=0.04; ENSMUSG00000032334:+0.36,q=0.0954; Bmp2:+0.16,q=0.126; Itgb3:+0.19,q=0.131; Ltbp1:+0.16,q=0.151; Lox:+0.30,q=0.155; Eln:+0.28,q=0.159; Itgb8:-0.20,q=0.177	Elastic fibre formation could reflect repair or turnover after dermal atrophy and matrix disruption.
skin_hvg	R-MMU-114608_PLATELET_DEGRANULATION	FLT_up	moderate	mostly_same_direction	same	122	52	3	14	0.0576923076923076	0.2692307692307692	3	0	0.1135446909790842	Vegfa:+0.34,q=0.0123; Pecam1:+0.34,q=0.016; Igf2:+0.33,q=0.0434; Pcdh7:-0.14,q=0.0699; Cd36:+0.35,q=0.0974; Actn2:+0.60,q=0.11; Phactr2:+0.22,q=0.12; Rarres2:+0.32,q=0.126	The pathway may reflect vascular injury/repair context or blood contamination in skin tissue.
skin_hvg	R-MMU-177929_SIGNALING_BY_EGFR	FLT_up	none	no_fdr_genes	opposite	50	17	0	8	0.0	0.4705882352941176	0	0	-0.1567009688955627	Tgfa:-0.34,q=0.0561; Ereg:-0.36,q=0.0577; Spry2:+0.15,q=0.0606; Fam83a:-0.33,q=0.0626; Ptprk:-0.18,q=0.11; ENSMUSG00000032358:-0.16,q=0.13; Areg:-0.35,q=0.147; Pag1:-0.16,q=0.208	EGFR signaling can drive keratinocyte proliferation and migration during barrier repair.
skin_hvg	R-MMU-3108232_SUMO_E3_LIGASES_SUMOYLATE_TARGET_PROTEINS	FLT_up	moderate	mostly_opposite_direction	opposite	160	24	3	10	0.125	0.4166666666666667	1	2	-0.1169200659896114	Brca1:-0.48,q=0.0401; Satb1:+0.36,q=0.0441; Top2a:-0.48,q=0.0484; Cdca8:-0.40,q=0.0529; Ar:+0.20,q=0.0807; ENSMUSG00000020897:-0.40,q=0.11; Vdr:-0.25,q=0.121; Esr1:+0.24,q=0.146	SUMO ligases can support DNA damage response and chromatin regulation under radiation stress.
skin_hvg	R-MMU-2142753_ARACHIDONATE_METABOLISM	FLT_up	weak	mostly_opposite_direction	opposite	67	28	1	6	0.0357142857142857	0.2142857142857142	0	1	-0.0166267716283972	Alox8:-0.93,q=0.0435; Ggt1:-1.00,q=0.0922; Gpx2:-0.56,q=0.1; Cyp4b1:+0.26,q=0.129; Dpep1:+0.27,q=0.158; Ptgds:-0.48,q=0.173; Akr1c18:-0.53,q=0.214; Cyp1a1:+0.25,q=0.292	Eicosanoid precursor metabolism could support inflammatory and barrier-stress responses.
skin_hvg	R-MMU-8878171_TRANSCRIPTIONAL_REGULATION_BY_RUNX1	FLT_up	none	no_fdr_genes	opposite	181	44	0	3	0.0	0.0681818181818181	0	0	-0.2250731780819981	ENSMUSG00000002028:+0.14,q=0.0622; Ccnd1:-0.23,q=0.1; Esr1:+0.24,q=0.146; ENSMUSG00000029673:+0.13,q=0.167; Ccnd2:-0.11,q=0.209; Ctsl:-0.13,q=0.236; H3c2:-0.59,q=0.265; H2bc12:-0.60,q=0.292	This transcriptional pathway may reflect repair or immune remodeling, with no direct directional evidence.
skin_hvg	R-MMU-418346_PLATELET_HOMEOSTASIS	FLT_up	strong	mostly_same_direction	same	76	19	4	8	0.2105263157894736	0.4210526315789473	4	0	0.1928667017647507	Itpr1:+0.30,q=0.00232; Nos2:+0.48,q=0.0123; Pecam1:+0.34,q=0.016; Atp2a3:+0.38,q=0.0493; Ptgir:+0.30,q=0.0513; Pde2a:+0.46,q=0.0525; Slc8a1:+0.24,q=0.108; Lrp8:-0.32,q=0.149	This may indicate vascular or blood-component biology rather than a primary skin response.
skin_hvg	R-MMU-1630316_GLYCOSAMINOGLYCAN_METABOLISM	FLT_up	strong	mostly_opposite_direction	same	133	46	7	16	0.1521739130434782	0.3478260869565217	3	4	0.0461956261081351	Prelp:+0.45,q=0.0168; St3gal1:+0.26,q=0.04; Hmmr:-0.52,q=0.0402; Chst1:+0.44,q=0.0435; Cd44:-0.29,q=0.0435; Vcan:-0.46,q=0.0441; Has3:-0.57,q=0.047; Cemip:-0.73,q=0.054	Glycosaminoglycan metabolism fits matrix hydration, repair, and collagen-fibril organization in skin.
skin_hvg	R-MMU-2173782_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	FLT_up	none	no_fdr_genes	same	142	19	0	4	0.0	0.2105263157894736	0	0	0.1390209846151675	Cd36:+0.35,q=0.0974; Apol7b:+0.11,q=0.102; Msr1:+0.31,q=0.156; Cd163:+0.24,q=0.214; S100a9:-0.32,q=0.273; Apol9b:+0.19,q=0.278; Scarb1:+0.14,q=0.318; Lrp1:+0.22,q=0.424	The pathway could support debris, lipid, or microbial-product clearance during inflammatory remodeling.
