gene_id	length_bp	merged_exon_intervals	chromosomes
ENSMUSG00000026011	2330	7	chr1
ENSMUSG00000026012	6122	7	chr1
ENSMUSG00000026014	32509	21	chr1
ENSMUSG00000026017	14593	17	chr1
ENSMUSG00000026018	17406	18	chr1
ENSMUSG00000026019	12766	14	chr1
ENSMUSG00000026020	12954	14	chr1
ENSMUSG00000026021	2487	11	chr1
ENSMUSG00000026023	2743	16	chr1
ENSMUSG00000026024	10519	38	chr1
ENSMUSG00000026027	9593	12	chr1
ENSMUSG00000026028	9187	20	chr1
ENSMUSG00000026029	3081	11	chr1
ENSMUSG00000026031	14458	18	chr1
ENSMUSG00000026032	5596	5	chr1
ENSMUSG00000026034	8626	7	chr1
ENSMUSG00000026035	8359	8	chr1
ENSMUSG00000026036	10181	9	chr1
ENSMUSG00000026037	5974	23	chr1
ENSMUSG00000026039	9595	10	chr1
ENSMUSG00000026042	11180	53	chr1
ENSMUSG00000026043	10277	52	chr1
ENSMUSG00000026047	8673	8	chr1
ENSMUSG00000026048	6557	16	chr1
ENSMUSG00000026049	3757	8	chr1
ENSMUSG00000026051	915	4	chr1
ENSMUSG00000026058	17580	19	chr1
ENSMUSG00000026062	7137	13	chr1
ENSMUSG00000026063	1451	1	chr1
ENSMUSG00000026064	7885	8	chr1
ENSMUSG00000026065	4979	14	chr1
ENSMUSG00000026068	6752	13	chr1
ENSMUSG00000026069	6894	13	chr1
ENSMUSG00000026070	4929	12	chr1
ENSMUSG00000026072	6816	16	chr1
ENSMUSG00000026073	2522	12	chr1
ENSMUSG00000026074	11346	34	chr1
ENSMUSG00000026077	5478	27	chr1
ENSMUSG00000026078	6062	6	chr1
ENSMUSG00000026080	12456	9	chr1
ENSMUSG00000026082	9024	26	chr1
ENSMUSG00000026083	9864	24	chr1
ENSMUSG00000026085	920	7	chr1
ENSMUSG00000026087	7944	6	chr1
ENSMUSG00000026088	7510	5	chr1
ENSMUSG00000026090	8152	23	chr1
ENSMUSG00000026094	7828	7	chr1
ENSMUSG00000026095	5174	6	chr1
ENSMUSG00000026096	9693	4	chr1
ENSMUSG00000026097	4942	4	chr1
ENSMUSG00000026098	8884	17	chr1
ENSMUSG00000026100	2707	3	chr1
ENSMUSG00000026102	9259	13	chr1
ENSMUSG00000026103	18072	21	chr1
ENSMUSG00000026104	10836	24	chr1
ENSMUSG00000026107	8498	6	chr1
ENSMUSG00000026109	11089	22	chr1
ENSMUSG00000026110	12911	15	chr1
ENSMUSG00000026111	3601	3	chr1
ENSMUSG00000026112	5280	3	chr1
ENSMUSG00000026113	12921	30	chr1
ENSMUSG00000026114	6042	10	chr1
ENSMUSG00000026116	9706	44	chr1
ENSMUSG00000026117	3562	16	chr1
ENSMUSG00000026121	6496	14	chr1
ENSMUSG00000026123	12142	14	chr1
ENSMUSG00000026124	1061	6	chr1
ENSMUSG00000026125	1366	6	chr1
ENSMUSG00000026126	6529	16	chr1
ENSMUSG00000026127	9065	5	chr1
ENSMUSG00000026131	45141	107	chr1
ENSMUSG00000026134	6385	18	chr1
ENSMUSG00000026135	16305	9	chr1
ENSMUSG00000026141	12751	54	chr1
ENSMUSG00000026142	13051	15	chr1
ENSMUSG00000026147	5068	39	chr1
ENSMUSG00000026149	1508	4	chr1
ENSMUSG00000026150	11071	12	chr1
ENSMUSG00000026153	8954	27	chr1
ENSMUSG00000026154	2549	4	chr1
ENSMUSG00000026155	5843	18	chr1
ENSMUSG00000026156	6203	4	chr1
ENSMUSG00000026158	10686	10	chr1
ENSMUSG00000026159	9279	17	chr1
ENSMUSG00000026162	2954	8	chr1
ENSMUSG00000026163	9692	13	chr1
ENSMUSG00000026166	1421	3	chr1
ENSMUSG00000026167	4248	6	chr1
ENSMUSG00000026170	3321	5	chr1
ENSMUSG00000026171	2530	11	chr1
ENSMUSG00000026172	5763	7	chr1
ENSMUSG00000026173	8296	18	chr1
ENSMUSG00000026174	4971	10	chr1
ENSMUSG00000026175	4852	21	chr1
ENSMUSG00000026176	3575	7	chr1
ENSMUSG00000026177	3983	13	chr1
ENSMUSG00000026179	10392	14	chr1
ENSMUSG00000026180	3046	2	chr1
ENSMUSG00000026181	7712	11	chr16
ENSMUSG00000026182	600	2	chr1
ENSMUSG00000026185	6006	4	chr1
ENSMUSG00000026187	3389	22	chr1
ENSMUSG00000026188	5234	4	chr1
ENSMUSG00000026189	7120	9	chr1
ENSMUSG00000026192	9470	14	chr1
ENSMUSG00000026193	15831	46	chr1
ENSMUSG00000026196	5659	11	chr1
ENSMUSG00000026197	1772	6	chr1
ENSMUSG00000026198	5424	11	chr1
ENSMUSG00000026199	7092	2	chr1
ENSMUSG00000026200	7679	9	chr1
ENSMUSG00000026201	6637	3	chr1
ENSMUSG00000026202	5460	6	chr1
ENSMUSG00000026203	4334	9	chr1
ENSMUSG00000026204	4440	25	chr1
ENSMUSG00000026205	2167	11	chr1
ENSMUSG00000026207	12911	48	chr1
ENSMUSG00000026208	5144	11	chr1
ENSMUSG00000026209	4540	14	chr1
ENSMUSG00000026211	9262	19	chr1
ENSMUSG00000026213	7800	25	chr1
ENSMUSG00000026219	18723	46	chr1
ENSMUSG00000026220	12041	9	chr1
ENSMUSG00000026222	9714	25	chr1
ENSMUSG00000026223	2800	6	chr1
ENSMUSG00000026224	4127	3	chr1
ENSMUSG00000026226	2823	8	chr1
ENSMUSG00000026227	5473	5	chr1
ENSMUSG00000026228	2234	4	chr1
ENSMUSG00000026229	10693	31	chr1
ENSMUSG00000026234	10274	12	chr1
ENSMUSG00000026235	8240	20	chr1
ENSMUSG00000026237	2436	6	chr1
ENSMUSG00000026238	2065	6	chr1
ENSMUSG00000026239	2801	6	chr1
ENSMUSG00000026240	5525	9	chr1
ENSMUSG00000026241	1050	3	chr1
ENSMUSG00000026245	5316	27	chr1
ENSMUSG00000026246	2256	10	chr1
ENSMUSG00000026247	4578	18	chr1
ENSMUSG00000026248	1650	4	chr1
ENSMUSG00000026249	12315	19	chr1
ENSMUSG00000026251	3607	12	chr1
ENSMUSG00000026253	4203	12	chr1
ENSMUSG00000026254	11189	8	chr1
ENSMUSG00000026255	2498	6	chr1
ENSMUSG00000026258	924	5	chr1
ENSMUSG00000026259	7176	17	chr1
ENSMUSG00000026260	11677	14	chr1
ENSMUSG00000026269	10444	7	chr1
ENSMUSG00000026270	10676	13	chr1
ENSMUSG00000026271	4893	7	chr1
ENSMUSG00000026272	1812	12	chr1
ENSMUSG00000026273	6932	5	chr1
ENSMUSG00000026274	10254	20	chr1
ENSMUSG00000026275	12546	11	chr1
ENSMUSG00000026276	12369	15	chr1
ENSMUSG00000026277	6817	14	chr1
ENSMUSG00000026278	2449	6	chr1
ENSMUSG00000026279	8183	9	chr1
ENSMUSG00000026280	9678	15	chr1
ENSMUSG00000026281	5133	4	chr1
ENSMUSG00000026283	4854	9	chr1
ENSMUSG00000026285	1967	5	chr1
ENSMUSG00000026288	8083	29	chr1
ENSMUSG00000026289	13292	16	chr1
ENSMUSG00000026295	1545	10	chr1
ENSMUSG00000026301	5149	25	chr1
ENSMUSG00000026303	5525	16	chr1
ENSMUSG00000026304	1992	7	chr1
ENSMUSG00000026305	10870	32	chr1
ENSMUSG00000026307	6311	18	chr1
ENSMUSG00000026308	3479	10	chr1
ENSMUSG00000026309	10901	12	chr1
ENSMUSG00000026311	6589	7	chr1
ENSMUSG00000026312	10328	13	chr1
ENSMUSG00000026313	17121	36	chr1
ENSMUSG00000026315	9440	4	chr1
ENSMUSG00000026317	7937	7	chr8
ENSMUSG00000026319	13786	31	chr1
ENSMUSG00000026321	7559	10	chr1
ENSMUSG00000026322	9169	12	chr18
ENSMUSG00000026327	2189	9	chr1
ENSMUSG00000026331	2842	14	chr1
ENSMUSG00000026333	6420	9	chr1
ENSMUSG00000026335	13524	35	chr1
ENSMUSG00000026336	3173	16	chr1
ENSMUSG00000026339	14504	25	chr1
ENSMUSG00000026341	6405	14	chr1
ENSMUSG00000026342	4444	20	chr1
ENSMUSG00000026343	3124	3	chr1
ENSMUSG00000026344	8646	6	chr1
ENSMUSG00000026347	9946	12	chr1
ENSMUSG00000026348	2838	11	chr1
ENSMUSG00000026349	15722	8	chr1
ENSMUSG00000026353	5378	14	chr1
ENSMUSG00000026354	6406	17	chr1
ENSMUSG00000026355	5432	19	chr1
ENSMUSG00000026356	8046	20	chr1
ENSMUSG00000026357	2408	6	chr1
ENSMUSG00000026358	6947	1	chr1
ENSMUSG00000026360	3627	4	chr1
ENSMUSG00000026361	17968	23	chr1
ENSMUSG00000026365	10572	23	chr1
ENSMUSG00000026368	2577	13	chr1
ENSMUSG00000026374	9055	5	chr1
ENSMUSG00000026377	2071	9	chr1
ENSMUSG00000026380	9498	16	chr1
ENSMUSG00000026383	15045	29	chr1
ENSMUSG00000026384	12558	29	chr1
ENSMUSG00000026385	1913	4	chr1
ENSMUSG00000026387	3362	14	chr1
ENSMUSG00000026388	5638	17	chr1
ENSMUSG00000026389	7398	12	chr1
ENSMUSG00000026390	1925	17	chr1
ENSMUSG00000026393	9884	23	chr1
ENSMUSG00000026394	1902	3	chr1
ENSMUSG00000026395	18764	32	chr1
ENSMUSG00000026398	8630	11	chr1
ENSMUSG00000026399	5911	11	chr1
ENSMUSG00000026401	1930	12	chr1
ENSMUSG00000026404	8801	12	chr1
ENSMUSG00000026405	7392	12	chr1
ENSMUSG00000026407	8096	46	chr1
ENSMUSG00000026409	11490	18	chr1
ENSMUSG00000026411	6305	8	chr1
ENSMUSG00000026413	5024	14	chr1
ENSMUSG00000026414	8923	17	chr1
ENSMUSG00000026415	2501	7	chr1
ENSMUSG00000026416	1186	5	chr1
ENSMUSG00000026417	4049	13	chr1
ENSMUSG00000026418	3600	16	chr1
ENSMUSG00000026420	1385	6	chr1
ENSMUSG00000026421	2956	11	chr1
ENSMUSG00000026424	2269	2	chr1
ENSMUSG00000026425	15558	34	chr1
ENSMUSG00000026426	2800	9	chr1
ENSMUSG00000026427	16118	17	chr1
ENSMUSG00000026429	6775	7	chr1
ENSMUSG00000026430	4174	9	chr1
ENSMUSG00000026432	4023	2	chr1
ENSMUSG00000026433	3090	7	chr1
ENSMUSG00000026434	7932	7	chr1
ENSMUSG00000026435	4400	10	chr1
ENSMUSG00000026436	11793	8	chr1
ENSMUSG00000026437	5208	15	chr1
ENSMUSG00000026439	6108	18	chr1
ENSMUSG00000026442	17555	42	chr1
ENSMUSG00000026443	8238	7	chr1
ENSMUSG00000026447	10513	35	chr1
ENSMUSG00000026450	1823	12	chr1
ENSMUSG00000026452	9373	17	chr1
ENSMUSG00000026455	12677	17	chr1
ENSMUSG00000026456	5244	6	chr1
ENSMUSG00000026457	6819	8	chr1
ENSMUSG00000026458	7924	29	chr1
ENSMUSG00000026459	1516	3	chr1
ENSMUSG00000026463	12392	24	chr1
ENSMUSG00000026466	5996	14	chr1
ENSMUSG00000026468	5849	7	chr1
ENSMUSG00000026469	17940	16	chr1
ENSMUSG00000026470	12934	13	chr1
ENSMUSG00000026471	7309	4	chr1
ENSMUSG00000026473	3948	11	chr1
ENSMUSG00000026475	2357	5	chr1
ENSMUSG00000026478	11320	28	chr1
ENSMUSG00000026479	8179	24	chr1
ENSMUSG00000026480	8676	16	chr1
ENSMUSG00000026482	6923	22	chr1
ENSMUSG00000026483	7996	20	chr1
ENSMUSG00000026484	4659	14	chr1
ENSMUSG00000026489	18192	26	chr1
ENSMUSG00000026490	22530	43	chr1
ENSMUSG00000026491	15268	35	chr1
ENSMUSG00000026492	5742	9	chr1
ENSMUSG00000026494	14696	16	chr1
ENSMUSG00000026495	5028	11	chr1
ENSMUSG00000026496	7285	24	chr1
ENSMUSG00000026497	2294	2	chr1
ENSMUSG00000026499	8701	8	chr1
ENSMUSG00000026500	5520	3	chr1
ENSMUSG00000026502	9173	9	chr1
ENSMUSG00000026504	18553	28	chr1
ENSMUSG00000026509	13372	17	chr1
ENSMUSG00000026510	4627	19	chr1
ENSMUSG00000026511	6599	3	chr1
ENSMUSG00000026514	6604	11	chr1
ENSMUSG00000026516	13854	25	chr1
ENSMUSG00000026519	6947	26	chr1
ENSMUSG00000026520	3675	4	chr1
ENSMUSG00000026523	3997	30	chr1
ENSMUSG00000026525	2176	5	chr1
ENSMUSG00000026526	10058	11	chr1
ENSMUSG00000026527	7330	20	chr1
ENSMUSG00000026531	799	2	chr1
ENSMUSG00000026532	9728	51	chr1
ENSMUSG00000026535	1801	7	chr1
ENSMUSG00000026536	1878	8	chr1
ENSMUSG00000026542	974	2	chr1
ENSMUSG00000026544	1424	2	chr1
ENSMUSG00000026546	5717	15	chr1
ENSMUSG00000026547	3455	9	chr1
ENSMUSG00000026548	2281	6	chr1
ENSMUSG00000026553	10400	33	chr1
ENSMUSG00000026554	14808	13	chr1
ENSMUSG00000026556	6990	12	chr1
ENSMUSG00000026558	5505	14	chr1
ENSMUSG00000026560	3065	10	chr1
ENSMUSG00000026563	6459	9	chr1
ENSMUSG00000026564	8465	12	chr1
ENSMUSG00000026565	16653	21	chr1
ENSMUSG00000026566	4348	14	chr1
ENSMUSG00000026567	8740	36	chr1
ENSMUSG00000026568	8055	6	chr1
ENSMUSG00000026571	17670	25	chr1
ENSMUSG00000026572	3214	11	chr1
ENSMUSG00000026573	523	3	chr1
ENSMUSG00000026574	4459	4	chr1
ENSMUSG00000026575	7160	19	chr1
ENSMUSG00000026576	4849	7	chr1
ENSMUSG00000026577	5351	8	chr1
ENSMUSG00000026578	6728	5	chr1
ENSMUSG00000026579	8254	26	chr1
ENSMUSG00000026580	4413	17	chr1
ENSMUSG00000026581	6307	10	chr1
ENSMUSG00000026582	3835	15	chr1
ENSMUSG00000026584	12281	11	chr1
ENSMUSG00000026585	12264	24	chr1
ENSMUSG00000026586	16550	9	chr1
ENSMUSG00000026587	10601	29	chr1
ENSMUSG00000026589	5464	29	chr1
ENSMUSG00000026592	1277	9	chr1
ENSMUSG00000026594	14034	22	chr1
ENSMUSG00000026596	13943	14	chr1
ENSMUSG00000026600	10680	20	chr1
ENSMUSG00000026601	6014	30	chr1
ENSMUSG00000026602	3126	8	chr1
ENSMUSG00000026603	6074	15	chr1
ENSMUSG00000026604	13723	23	chr1
ENSMUSG00000026605	16565	18	chr1
ENSMUSG00000026608	8358	17	chr1
ENSMUSG00000026609	17322	73	chr1
ENSMUSG00000026610	6208	12	chr1
ENSMUSG00000026611	8803	13	chr1
ENSMUSG00000026614	7701	4	chr1
ENSMUSG00000026615	23315	30	chr1
ENSMUSG00000026616	8212	26	chr1
ENSMUSG00000026617	4653	12	chr1
ENSMUSG00000026618	13398	20	chr1
ENSMUSG00000026620	9953	18	chr1
ENSMUSG00000026621	2260	8	chr1
ENSMUSG00000026622	4804	9	chr1
ENSMUSG00000026623	8603	13	chr1
ENSMUSG00000026626	12165	15	chr1
ENSMUSG00000026627	4369	8	chr1
ENSMUSG00000026628	2441	7	chr1
ENSMUSG00000026630	1597	5	chr1
ENSMUSG00000026632	4426	11	chr1
ENSMUSG00000026634	8583	12	chr1
ENSMUSG00000026637	11283	11	chr1
ENSMUSG00000026638	7383	8	chr1
ENSMUSG00000026639	8227	35	chr1
ENSMUSG00000026640	17215	34	chr1
ENSMUSG00000026641	5123	8	chr1
ENSMUSG00000026643	6895	15	chr2
ENSMUSG00000026644	575	4	chr2
ENSMUSG00000026645	1769	9	chr2
ENSMUSG00000026646	10082	4	chr2
ENSMUSG00000026648	10872	19	chr2
ENSMUSG00000026649	1774	10	chr1
ENSMUSG00000026650	3873	13	chr2
ENSMUSG00000026655	4329	12	chr2
ENSMUSG00000026656	5854	10	chr1
ENSMUSG00000026657	23468	33	chr2
ENSMUSG00000026659	4175	6	chr1
ENSMUSG00000026662	6859	11	chr2
ENSMUSG00000026663	9799	17	chr1
ENSMUSG00000026664	5939	12	chr2
ENSMUSG00000026667	8189	9	chr1
ENSMUSG00000026668	892	5	chr2
ENSMUSG00000026669	10077	19	chr2
ENSMUSG00000026670	8648	18	chr1
ENSMUSG00000026672	11307	22	chr2
ENSMUSG00000026674	9282	22	chr1
ENSMUSG00000026675	5118	10	chr1
ENSMUSG00000026676	8766	7	chr2
ENSMUSG00000026678	6148	6	chr1
ENSMUSG00000026679	2177	6	chr2
ENSMUSG00000026683	6641	15	chr1
ENSMUSG00000026686	3556	9	chr1
ENSMUSG00000026687	5032	11	chr1
ENSMUSG00000026688	3579	11	chr1
ENSMUSG00000026691	2416	9	chr1
ENSMUSG00000026692	3707	11	chr1
ENSMUSG00000026694	9752	6	chr1
ENSMUSG00000026696	7274	10	chr1
ENSMUSG00000026697	2194	4	chr1
ENSMUSG00000026698	6300	1	chr1
ENSMUSG00000026700	1842	3	chr1
ENSMUSG00000026701	9304	9	chr1
ENSMUSG00000026705	13796	9	chr1
ENSMUSG00000026707	11305	13	chr2
ENSMUSG00000026708	5695	7	chr1
ENSMUSG00000026709	8159	17	chr1
ENSMUSG00000026712	7828	29	chr2
ENSMUSG00000026715	8555	9	chr1
ENSMUSG00000026718	8630	18	chr2
ENSMUSG00000026721	24566	34	chr1
ENSMUSG00000026723	4395	12	chr2
ENSMUSG00000026725	5817	22	chr1
ENSMUSG00000026726	14935	66	chr2
ENSMUSG00000026727	11741	15	chr2
ENSMUSG00000026728	4752	7	chr2
ENSMUSG00000026729	1316	3	chr1
ENSMUSG00000026730	5256	11	chr2
ENSMUSG00000026734	2293	17	chr2
ENSMUSG00000026735	1508	2	chr2
ENSMUSG00000026736	2419	1	chr2
ENSMUSG00000026737	7480	13	chr2
ENSMUSG00000026739	4534	16	chr2
ENSMUSG00000026740	14372	17	chr2
ENSMUSG00000026743	12555	29	chr2
ENSMUSG00000026748	13782	17	chr2
ENSMUSG00000026749	16430	15	chr2
ENSMUSG00000026750	6025	7	chr2
ENSMUSG00000026751	8859	7	chr2
ENSMUSG00000026753	4564	10	chr2
ENSMUSG00000026754	11149	25	chr2
ENSMUSG00000026755	4932	5	chr2
ENSMUSG00000026761	13894	20	chr2
ENSMUSG00000026764	14239	29	chr2
ENSMUSG00000026765	7134	17	chr2
ENSMUSG00000026766	2188	9	chr2
ENSMUSG00000026767	9984	22	chr2
ENSMUSG00000026768	10794	36	chr2
ENSMUSG00000026770	5711	9	chr2
ENSMUSG00000026771	11863	14	chr2
ENSMUSG00000026773	8066	21	chr2
ENSMUSG00000026774	2352	12	chr2
ENSMUSG00000026775	8814	21	chr2
ENSMUSG00000026778	8024	23	chr2
ENSMUSG00000026779	9076	16	chr2
ENSMUSG00000026781	10103	14	chr2
ENSMUSG00000026782	10337	14	chr1
ENSMUSG00000026784	5266	16	chr2
ENSMUSG00000026785	4256	21	chr2
ENSMUSG00000026786	7414	14	chr2
ENSMUSG00000026787	6523	17	chr2
ENSMUSG00000026788	5675	4	chr2
ENSMUSG00000026790	12847	22	chr2
ENSMUSG00000026791	5285	6	chr2
ENSMUSG00000026792	10092	23	chr2
ENSMUSG00000026796	4672	19	chr2
ENSMUSG00000026797	12036	21	chr2
ENSMUSG00000026798	3453	6	chr2
ENSMUSG00000026799	5998	18	chr2
ENSMUSG00000026803	6249	11	chr2
ENSMUSG00000026805	3905	5	chr2
ENSMUSG00000026806	7319	22	chr2
ENSMUSG00000026807	2824	19	chr2
ENSMUSG00000026809	1486	8	chr2
ENSMUSG00000026810	2243	2	chr2
ENSMUSG00000026811	7028	13	chr2
ENSMUSG00000026812	14475	22	chr2
ENSMUSG00000026814	7798	15	chr2
ENSMUSG00000026815	1830	7	chr2
ENSMUSG00000026816	4573	15	chr2
ENSMUSG00000026817	10023	11	chr2
ENSMUSG00000026818	2104	11	chr2
ENSMUSG00000026819	9108	15	chr2
ENSMUSG00000026820	6835	5	chr2
ENSMUSG00000026821	7075	16	chr2
ENSMUSG00000026822	2623	5	chr2
ENSMUSG00000026824	5666	3	chr2
ENSMUSG00000026825	7697	25	chr2
ENSMUSG00000026826	8207	8	chr2
ENSMUSG00000026827	8216	22	chr2
ENSMUSG00000026828	5597	11	chr2
ENSMUSG00000026829	1957	7	chr2
ENSMUSG00000026830	4274	3	chr2
ENSMUSG00000026831	2706	6	chr2
ENSMUSG00000026832	6744	11	chr2
ENSMUSG00000026833	4385	8	chr2
ENSMUSG00000026834	9572	13	chr2
ENSMUSG00000026835	1430	10	chr2
ENSMUSG00000026836	6684	23	chr2
ENSMUSG00000026837	8724	68	chr2
ENSMUSG00000026839	10817	19	chr2
ENSMUSG00000026840	9385	30	chr2
ENSMUSG00000026841	5321	7	chr2
ENSMUSG00000026842	14789	17	chr2
ENSMUSG00000026843	7642	19	chr2
ENSMUSG00000026848	6271	5	chr2
ENSMUSG00000026849	7700	4	chr2
ENSMUSG00000026851	7237	10	chr2
ENSMUSG00000026853	10692	15	chr2
ENSMUSG00000026854	9965	25	chr2
ENSMUSG00000026856	3415	7	chr2
ENSMUSG00000026857	8140	7	chr2
ENSMUSG00000026858	12133	13	chr2
ENSMUSG00000026860	8891	9	chr2
ENSMUSG00000026864	5554	7	chr2
ENSMUSG00000026866	6652	17	chr2
ENSMUSG00000026867	15888	31	chr2
ENSMUSG00000026869	10476	10	chr2
ENSMUSG00000026870	2568	6	chr2
ENSMUSG00000026872	22741	19	chr2
ENSMUSG00000026873	5383	15	chr2
ENSMUSG00000026874	6501	44	chr2
ENSMUSG00000026875	8872	7	chr2
ENSMUSG00000026878	15266	9	chr2
ENSMUSG00000026879	10535	28	chr2
ENSMUSG00000026880	3152	8	chr2
ENSMUSG00000026882	1227	6	chr2
ENSMUSG00000026883	8366	22	chr2
ENSMUSG00000026885	7725	13	chr2
ENSMUSG00000026887	8786	10	chr2
ENSMUSG00000026888	7670	16	chr2
ENSMUSG00000026889	6128	8	chr2
ENSMUSG00000026890	5134	13	chr2
ENSMUSG00000026893	5712	9	chr2
ENSMUSG00000026894	933	6	chr2
ENSMUSG00000026895	6718	5	chr2
ENSMUSG00000026896	8992	17	chr2
ENSMUSG00000026904	6777	29	chr2
ENSMUSG00000026914	8975	19	chr2
ENSMUSG00000026915	19621	26	chr2
ENSMUSG00000026917	7629	15	chr2
ENSMUSG00000026918	7885	15	chr2
ENSMUSG00000026919	774	7	chr2
ENSMUSG00000026921	8003	12	chr2
ENSMUSG00000026922	4495	6	chr2
ENSMUSG00000026923	14232	40	chr2
ENSMUSG00000026924	10150	33	chr2
ENSMUSG00000026925	4460	9	chr2
ENSMUSG00000026926	7182	11	chr2
ENSMUSG00000026927	5432	6	chr2
ENSMUSG00000026928	3149	13	chr2
ENSMUSG00000026930	7057	18	chr2
ENSMUSG00000026931	5976	8	chr19
ENSMUSG00000026932	10022	14	chr2
ENSMUSG00000026933	8502	20	chr2
ENSMUSG00000026934	3045	7	chr2
ENSMUSG00000026936	684	7	chr2
ENSMUSG00000026937	882	9	chr2
ENSMUSG00000026938	1792	13	chr2
ENSMUSG00000026939	1574	4	chr2
ENSMUSG00000026940	3042	11	chr2
ENSMUSG00000026941	7853	31	chr2
ENSMUSG00000026942	7678	13	chr2
ENSMUSG00000026943	790	6	chr2
ENSMUSG00000026944	9263	46	chr2
ENSMUSG00000026946	2370	9	chr2
ENSMUSG00000026950	26876	167	chr2
ENSMUSG00000026955	3504	5	chr2
ENSMUSG00000026956	4698	7	chr2
ENSMUSG00000026958	3357	6	chr2
ENSMUSG00000026959	11089	17	chr2
ENSMUSG00000026960	4891	6	chr2
ENSMUSG00000026961	1205	2	chr2
ENSMUSG00000026963	523	4	chr2
ENSMUSG00000026965	3735	11	chr2
ENSMUSG00000026966	1409	1	chr2
ENSMUSG00000026969	1179	7	chr2
ENSMUSG00000026970	6710	21	chr2
ENSMUSG00000026971	7328	21	chr2
ENSMUSG00000026972	2682	7	chr2
ENSMUSG00000026974	4177	7	chr2
ENSMUSG00000026975	6446	6	chr2
ENSMUSG00000026976	7221	13	chr2
ENSMUSG00000026977	12489	10	chr2
ENSMUSG00000026979	12393	21	chr2
ENSMUSG00000026980	9312	36	chr2
ENSMUSG00000026981	5536	6	chr2
ENSMUSG00000026983	4565	6	chr2
ENSMUSG00000026984	1120	6	chr2
ENSMUSG00000026985	1229	5	chr2
ENSMUSG00000026986	2531	10	chr2
ENSMUSG00000026987	17761	45	chr2
ENSMUSG00000026988	8319	12	chr2
ENSMUSG00000026989	685	5	chr2
ENSMUSG00000026991	7099	30	chr2
ENSMUSG00000026994	5462	10	chr2
ENSMUSG00000026999	4519	13	chr2
ENSMUSG00000027001	5546	8	chr2
ENSMUSG00000027002	9520	33	chr2
ENSMUSG00000027004	3601	8	chr2
ENSMUSG00000027006	6807	24	chr2
ENSMUSG00000027007	7618	22	chr2
ENSMUSG00000027009	16732	26	chr2
ENSMUSG00000027010	8323	27	chr2
ENSMUSG00000027011	10888	9	chr2
ENSMUSG00000027012	12265	23	chr2
ENSMUSG00000027014	13973	24	chr2
ENSMUSG00000027015	5339	4	chr2
ENSMUSG00000027016	10157	18	chr2
ENSMUSG00000027018	3903	11	chr2
ENSMUSG00000027022	14447	16	chr2
ENSMUSG00000027030	10713	23	chr2
ENSMUSG00000027035	9356	12	chr2
ENSMUSG00000027048	5560	30	chr2
ENSMUSG00000027067	4510	15	chr2
ENSMUSG00000027068	4294	5	chr2
ENSMUSG00000027070	16703	80	chr2
ENSMUSG00000027071	6313	16	chr2
ENSMUSG00000027072	1058	6	chr2
ENSMUSG00000027073	1063	7	chr2
ENSMUSG00000027074	6175	12	chr2
ENSMUSG00000027075	5945	17	chr2
ENSMUSG00000027076	4175	3	chr2
ENSMUSG00000027077	4716	9	chr2
ENSMUSG00000027078	2802	6	chr2
ENSMUSG00000027079	3048	6	chr2
ENSMUSG00000027080	3745	6	chr2
ENSMUSG00000027082	6145	12	chr2
ENSMUSG00000027086	5994	15	chr2
ENSMUSG00000027087	12334	32	chr2
ENSMUSG00000027088	7779	4	chr2
ENSMUSG00000027091	7991	12	chr2
ENSMUSG00000027099	12582	15	chr2
ENSMUSG00000027102	2944	2	chr2
ENSMUSG00000027104	11817	21	chr2
ENSMUSG00000027107	4541	9	chr2
ENSMUSG00000027108	7024	17	chr2
ENSMUSG00000027109	7330	8	chr2
ENSMUSG00000027111	11382	34	chr2
ENSMUSG00000027115	10920	15	chr2
ENSMUSG00000027120	1600	3	chr2
ENSMUSG00000027122	6980	6	chr2
ENSMUSG00000027130	12375	26	chr2
ENSMUSG00000027131	6344	7	chr2
ENSMUSG00000027132	7877	13	chr2
ENSMUSG00000027133	1262	2	chr2
ENSMUSG00000027134	4506	13	chr2
ENSMUSG00000027157	8784	74	chr2
ENSMUSG00000027160	12828	7	chr2
ENSMUSG00000027162	4727	5	chr2
ENSMUSG00000027163	1637	7	chr2
ENSMUSG00000027164	10364	9	chr2
ENSMUSG00000027165	5137	19	chr2
ENSMUSG00000027166	21791	6	chr2
ENSMUSG00000027167	13318	18	chr2
ENSMUSG00000027168	16047	17	chr2
ENSMUSG00000027170	8173	13	chr2
ENSMUSG00000027171	5372	6	chr2
ENSMUSG00000027173	2709	9	chr2
ENSMUSG00000027175	13380	14	chr2
ENSMUSG00000027176	7610	22	chr2
ENSMUSG00000027177	8753	20	chr2
ENSMUSG00000027180	9570	11	chr2
ENSMUSG00000027184	11021	17	chr2
ENSMUSG00000027185	7941	29	chr2
ENSMUSG00000027186	5877	9	chr2
ENSMUSG00000027187	3671	15	chr2
ENSMUSG00000027188	7148	14	chr2
ENSMUSG00000027189	7428	10	chr2
ENSMUSG00000027193	6631	14	chr2
ENSMUSG00000027194	9199	27	chr2
ENSMUSG00000027195	2892	15	chr2
ENSMUSG00000027196	2551	4	chr2
ENSMUSG00000027198	13372	21	chr2
ENSMUSG00000027199	6720	7	chr2
ENSMUSG00000027200	11544	27	chr2
ENSMUSG00000027201	5936	19	chr2
ENSMUSG00000027202	5763	28	chr2
ENSMUSG00000027203	2848	9	chr2
