review_row	term	observed_direction	reviewed_category	literature_alignment	direction_assessment	confidence	rationale	citations
93	R-MMU-375276_PEPTIDE_LIGAND_BINDING_RECEPTORS	FLT_up	blue_plausible_complementary	plausible_indirect	FLT_up is plausible but broad	low	Peptide-ligand receptors include chemokine and GPCR biology that could rise with inflammation, but the pathway is too heterogeneous for direct alignment.	Gambara2017;Chopard2009
94	R-MMU-174824_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	FLT_up	red_conflict_or_artifact	artifact_off_context	FLT_up is likely off-context	medium	Plasma lipoprotein assembly/clearance is primarily liver/plasma biology; muscle literature instead points to impaired oxidative lipid use rather than lipoprotein assembly up.	Gambara2017;Murgia2024
95	R-MMU-71387_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES	FLT_down	red_conflict_or_artifact	conflict_with_prior_direction	FLT_down conflicts with glycolytic-shift evidence	medium	Spaceflight muscle proteomics supports increased glycolytic/glucose-metabolism proteins during slow-to-fast metabolic remodeling, so lower carbohydrate-metabolism signal is not aligned.	Tascher2017;Gambara2017
96	R-MMU-5688426_DEUBIQUITINATION	FLT_up	blue_plausible_complementary	plausible_indirect	FLT_up is plausible but not direct	medium	Ubiquitin-proteasome regulation is central to atrophy, but deubiquitination-specific direction is not directly established in soleus spaceflight.	Sandona2012;Bonaldo2013
97	R-MMU-388396_GPCR_DOWNSTREAM_SIGNALLING	FLT_up	blue_plausible_complementary	plausible_indirect	FLT_up is plausible but weakly direct	low	GPCR downstream signaling can couple immune and metabolic remodeling, but pathway-level up support in soleus flight studies is indirect.	Chopard2009;Gambara2017
98	R-MMU-112316_NEURONAL_SYSTEM	FLT_up	blue_plausible_complementary	plausible_indirect	FLT_up is plausible but mixed	low	Neuromuscular instability and neural markers can accompany unloading, but direct neuronal-system up evidence in soleus spaceflight is weak and mixed.	Gambara2017;Murgia2024
99	R-MMU-9013149_RAC1_GTPASE_CYCLE	FLT_up	blue_plausible_complementary	plausible_indirect	FLT_up is plausible	medium	RAC1/Rho-family signaling plausibly reflects cytoskeletal and immune-cell remodeling, but direct soleus pathway direction evidence is limited.	Murgia2024;Tidball2002
100	R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	FLT_down	orange_uncertain_no_direct_support	mixed_direction	FLT_down is mixed	medium	Postflight human soleus shows ECM/basement-membrane enrichment and unloading shifts collagen composition, but lower ECM-organization signal could reflect disrupted matrix structure rather than active organization.	Murgia2024;Miller2001
101	R-MMU-397014_MUSCLE_CONTRACTION	FLT_up	orange_uncertain_no_direct_support	mixed_direction	FLT_up is mixed	medium	Spaceflight decreases muscle mass, force, and slow-fiber contractile function, but fast contractile genes can rise during slow-to-fast transition, so broad contraction up is ambiguous.	Gambara2017;Fitts2010;Tsuji2026
102	R-MMU-156580_PHASE_II_CONJUGATION_OF_COMPOUNDS	FLT_up	red_conflict_or_artifact	artifact_off_context	FLT_up is likely off-context	medium	Phase II conjugation is a xenobiotic/detoxification pathway with little direct relevance to soleus unloading biology.	Gambara2017;Tascher2017
103	R-MMU-1632852_MACROAUTOPHAGY	FLT_down	orange_uncertain_no_direct_support	mixed_or_uncertain	FLT_down is mixed	medium	Autophagy is a recognized atrophy/proteostasis mechanism, but long-duration spaceflight soleus reported autophagy genes near control, so decreased macroautophagy is not clearly aligned.	Sandona2012;Bonaldo2013;Tascher2017
104	R-MMU-69278_CELL_CYCLE_MITOTIC	FLT_up	orange_uncertain_no_direct_support	uncertain_specific_pathway	FLT_up is ambiguous	low	Mitotic cell-cycle signaling is not expected in mature myofibers; any signal could reflect satellite, immune, or stromal cells rather than direct muscle adaptation.	Gambara2017;Bonaldo2013
105	R-MMU-9006931_SIGNALING_BY_NUCLEAR_RECEPTORS	FLT_up	orange_uncertain_no_direct_support	mixed_direction	FLT_up is mixed	medium	Nuclear receptor biology is relevant, but direct soleus evidence shows Ppara down-regulation, so broad nuclear-receptor signaling up is not aligned.	Gambara2017
106	R-MMU-983169_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	FLT_down	orange_uncertain_no_direct_support	uncertain_specific_pathway	FLT_down lacks direct support	low	Immune activation is supported, but class I antigen presentation is a specific adaptive/immune-cell pathway not directly shown as decreased in soleus flight studies.	Gambara2017;Tidball2002
107	R-MMU-977606_REGULATION_OF_COMPLEMENT_CASCADE	FLT_up	green_prior_aligned	aligned_close	FLT_up aligns with modified-loading inflammation	medium	Complement activation is reported during modified muscle use and fits inflammatory remodeling after unloading.	Frenette2000;Tidball2002
108	R-MMU-983712_ION_CHANNEL_TRANSPORT	FLT_down	orange_uncertain_no_direct_support	mixed_direction	FLT_down is mixed	medium	Long-duration microgravity reported many sarcolemmal ion-channel subunits up-regulated, while space-flown soleus showed Kcnma1 down-regulation, making broad ion-channel transport direction mixed.	Sandona2012;Gambara2017
109	R-MMU-73857_RNA_POLYMERASE_II_TRANSCRIPTION	FLT_down	orange_uncertain_no_direct_support	uncertain_broad	FLT_down is too nonspecific to align	low	RNA polymerase II transcription is too broad to infer meaningful direction despite strong overall transcriptomic remodeling.	Okada2021;Gambara2017
110	R-MMU-1280218_ADAPTIVE_IMMUNE_SYSTEM	FLT_down	orange_uncertain_no_direct_support	uncertain_specific_pathway	FLT_down lacks direct adaptive immune support	low	Space-flown soleus supports inflammatory chemokines and innate immune remodeling more than a clear adaptive immune pathway decrease.	Gambara2017;Tidball2002
111	R-MMU-5617833_CILIUM_ASSEMBLY	FLT_up	orange_uncertain_no_direct_support	uncertain_off_context	FLT_up lacks direct support	low	Cilium assembly is not a recognized primary soleus unloading pathway; any signal may reflect nonmyofiber cells or generic developmental annotations.	Gambara2017;Murgia2024
112	R-MMU-1566948_ELASTIC_FIBRE_FORMATION	FLT_down	orange_uncertain_no_direct_support	uncertain_specific_pathway	FLT_down lacks direct support	low	Elastic-fibre formation fits broader ECM biology, but direct soleus flight evidence is not elastic-fibre specific and does not establish a decrease.	Miller2001;Murgia2024
113	R-MMU-500792_GPCR_LIGAND_BINDING	FLT_down	blue_plausible_complementary	plausible_indirect	FLT_down is plausible but broad	low	GPCR ligand binding could reflect chemokine, adrenergic, or metabolic signaling changes in either direction; direct pathway-level direction evidence is weak.	Gambara2017;Chopard2009
114	R-MMU-4839726_CHROMATIN_ORGANIZATION	FLT_down	orange_uncertain_no_direct_support	uncertain_broad	FLT_down lacks direct support	low	Chromatin organization may participate in transcriptional adaptation, but direct soleus-spaceflight pathway direction is not established.	Okada2021;Gambara2017
115	R-MMU-422475_AXON_GUIDANCE	FLT_up	blue_plausible_complementary	plausible_indirect	FLT_up is plausible but mixed	low	Neuromuscular junction and neural remodeling are relevant to unloading, but axon-guidance up direction is not directly established.	Gambara2017;Murgia2024
116	R-MMU-382556_ABC_FAMILY_PROTEIN_MEDIATED_TRANSPORT	FLT_down	blue_plausible_complementary	plausible_indirect	FLT_down is plausible but weak	low	Transport remodeling is plausible during spaceflight muscle adaptation, but ABC-family-specific decrease evidence is not direct.	Sandona2012;Gambara2017
117	R-MMU-1474290_COLLAGEN_FORMATION	FLT_up	blue_plausible_complementary	mixed_but_plausible	FLT_up is plausible within ECM turnover	medium	Collagen remodeling is supported by unloading and postflight soleus proteomics, but formation versus degradation direction is not consistently resolved.	Miller2001;Murgia2024
118	R-MMU-1650814_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	FLT_up	blue_plausible_complementary	mixed_but_plausible	FLT_up is plausible within ECM turnover	medium	Collagen biosynthesis/modification fits ECM remodeling, but direct soleus evidence supports collagen shifts rather than uniform biosynthesis up.	Miller2001;Murgia2024
119	R-MMU-8939211_ESR_MEDIATED_SIGNALING	FLT_up	orange_uncertain_no_direct_support	uncertain_specific_pathway	FLT_up lacks direct support	low	Estrogen-receptor signaling can affect muscle biology, but direct ESR-mediated up-regulation in soleus spaceflight literature is not established.	Chopard2009;Gambara2017
120	R-MMU-216083_INTEGRIN_CELL_SURFACE_INTERACTIONS	FLT_down	blue_plausible_complementary	plausible_mechanotransduction	FLT_down is plausible but mixed	medium	Reduced load could suppress integrin mechanotransduction, while postflight ECM/cell-junction remodeling can enrich adhesion terms, so the direction is biologically plausible but not directly settled.	Murgia2024;Miller2001
121	R-MMU-9006936_SIGNALING_BY_TGFB_FAMILY_MEMBERS	FLT_down	green_prior_aligned	aligned_direct	FLT_down aligns with direct soleus pathway evidence	medium	Direct mouse soleus transcriptome analysis reported TGF-beta signaling among downregulated microgravity pathways, so the corrected decrease is aligned.	Okada2021
